SampleID	run	treatment	treatment2	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2
X10.3.C1	run_one	Control_transfer	Control	microbiome_transfer	cage_1	Control_transfer_cage_1	10_3	cycle_1	Control_cycle_1	Control_transfer_to_cycle_2
X10.3.C2	run_one	Control_transfer	Control	microbiome_transfer	cage_2	Control_transfer_cage_2	10_3	cycle_1	Control_cycle_1	Control_transfer_to_cycle_2
X10.3.C3	run_one	Control_transfer	Control	microbiome_transfer	cage_3	Control_transfer_cage_3	10_3	cycle_1	Control_cycle_1	Control_transfer_to_cycle_2
X10.3.Ch1	run_one	Chlorothalonil_transfer	Chlorothalonil	microbiome_transfer	cage_1	Chlorothalonil_transfer_cage_1	10_3	cycle_1	Chlorothalonil_cycle_1	Chlorothalonil_transfer_to_cycle_2
X10.3.Ch2	run_one	Chlorothalonil_transfer	Chlorothalonil	microbiome_transfer	cage_2	Chlorothalonil_transfer_cage_2	10_3	cycle_1	Chlorothalonil_cycle_1	Chlorothalonil_transfer_to_cycle_2
X10.3.Ch3	run_one	Chlorothalonil_transfer	Chlorothalonil	microbiome_transfer	cage_3	Chlorothalonil_transfer_cage_3	10_3	cycle_1	Chlorothalonil_cycle_1	Chlorothalonil_transfer_to_cycle_2
X10.3.G1	run_one	Glyphosate_transfer	Glyphosate	microbiome_transfer	cage_1	Glyphosate_transfer_cage_1	10_3	cycle_1	Glyphosate_cycle_1	Glyphosate_transfer_to_cycle_2
X10.3.G2	run_one	Glyphosate_transfer	Glyphosate	microbiome_transfer	cage_2	Glyphosate_transfer_cage_2	10_3	cycle_1	Glyphosate_cycle_1	Glyphosate_transfer_to_cycle_2
X10.3.G3	run_one	Glyphosate_transfer	Glyphosate	microbiome_transfer	cage_3	Glyphosate_transfer_cage_3	10_3	cycle_1	Glyphosate_cycle_1	Glyphosate_transfer_to_cycle_2
X10.3.T1	run_one	Tetracycline_transfer	Tetracycline	microbiome_transfer	cage_1	Tetracycline_transfer_cage_1	10_3	cycle_1	Tetracycline_cycle_1	Tetracycline_transfer_to_cycle_2
X10.3.T2	run_one	Tetracycline_transfer	Tetracycline	microbiome_transfer	cage_2	Tetracycline_transfer_cage_2	10_3	cycle_1	Tetracycline_cycle_1	Tetracycline_transfer_to_cycle_2
X10.3.T3	run_one	Tetracycline_transfer	Tetracycline	microbiome_transfer	cage_3	Tetracycline_transfer_cage_3	10_3	cycle_1	Tetracycline_cycle_1	Tetracycline_transfer_to_cycle_2
X10.C1.1	run_one	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_1	Control_cycle_1	Control_cycle_2
X10.C1.2	run_two	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_1	Control_cycle_1	Control_cycle_2
X10.C1.6	run_two	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_1	Control_cycle_1	Control_cycle_2
X10.C2.1	run_two	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_1	Control_cycle_1	Control_cycle_2
X10.C2.4	run_one	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_1	Control_cycle_1	Control_cycle_2
X10.C2.5	run_two	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_1	Control_cycle_1	Control_cycle_2
X10.C3.2	run_two	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_1	Control_cycle_1	Control_cycle_2
X10.C3.3	run_one	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_1	Control_cycle_1	Control_cycle_2
X10.C3.4	run_two	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_1	Control_cycle_1	Control_cycle_2
X10.Ch1.1	run_one	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	10_3	cycle_1	Chlorothalonil_cycle_1	Chlorothalonil_cycle_2
X10.Ch1.2	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	10_3	cycle_1	Chlorothalonil_cycle_1	Chlorothalonil_cycle_2
X10.Ch1.3	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	10_3	cycle_1	Chlorothalonil_cycle_1	Chlorothalonil_cycle_2
X10.Ch1.4	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_1	Chlorothalonil_cage_1	10_3	cycle_1	Chlorothalonil_cycle_1	Chlorothalonil_cycle_2
X10.Ch3.1	run_two	Chlorothalonil	Chlorothalonil	single_bee	cage_3	Chlorothalonil_cage_3	10_3	cycle_1	Chlorothalonil_cycle_1	Chlorothalonil_cycle_2
