SampleID	treatment	treatment2	treatment3	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2	treatment_cycle3
X10.3.C1	Control_transfer	Control	Control	microbiome_transfer	cage_1	Control_transfer_cage_1	10_3	cycle_one	Control_cycle_1	Control_transfer_to_cycle_2	Control_cycle_1
X10.3.C2	Control_transfer	Control	Control	microbiome_transfer	cage_2	Control_transfer_cage_2	10_3	cycle_one	Control_cycle_1	Control_transfer_to_cycle_2	Control_cycle_1
X10.3.C3	Control_transfer	Control	Control	microbiome_transfer	cage_3	Control_transfer_cage_3	10_3	cycle_one	Control_cycle_1	Control_transfer_to_cycle_2	Control_cycle_1
X10.3.Ch1	Chlorothalonil_transfer	Chlorothalonil	Chlorothalonil	microbiome_transfer	cage_1	Chlorothalonil_transfer_cage_1	10_3	cycle_one	Chlorothalonil_cycle_1	Chlorothalonil_transfer_to_cycle_2	Chlorothalonil_cycle_1
X10.3.Ch2	Chlorothalonil_transfer	Chlorothalonil	Chlorothalonil	microbiome_transfer	cage_2	Chlorothalonil_transfer_cage_2	10_3	cycle_one	Chlorothalonil_cycle_1	Chlorothalonil_transfer_to_cycle_2	Chlorothalonil_cycle_1
X10.3.Ch3	Chlorothalonil_transfer	Chlorothalonil	Chlorothalonil	microbiome_transfer	cage_3	Chlorothalonil_transfer_cage_3	10_3	cycle_one	Chlorothalonil_cycle_1	Chlorothalonil_transfer_to_cycle_2	Chlorothalonil_cycle_1
X10.3.G1	Glyphosate_transfer	Glyphosate	Glyphosate	microbiome_transfer	cage_1	Glyphosate_transfer_cage_1	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_transfer_to_cycle_2	Glyphosate_cycle_1
X10.3.G2	Glyphosate_transfer	Glyphosate	Glyphosate	microbiome_transfer	cage_2	Glyphosate_transfer_cage_2	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_transfer_to_cycle_2	Glyphosate_cycle_1
X10.3.G3	Glyphosate_transfer	Glyphosate	Glyphosate	microbiome_transfer	cage_3	Glyphosate_transfer_cage_3	10_3	cycle_one	Glyphosate_cycle_1	Glyphosate_transfer_to_cycle_2	Glyphosate_cycle_1
X10.3.T1	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_1	Tetracycline_transfer_cage_1	10_3	cycle_one	Tetracycline_cycle_1	Tetracycline_transfer_to_cycle_2	Tetracycline_cycle_1
X10.3.T2	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_2	Tetracycline_transfer_cage_2	10_3	cycle_one	Tetracycline_cycle_1	Tetracycline_transfer_to_cycle_2	Tetracycline_cycle_1
X10.3.T3	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_3	Tetracycline_transfer_cage_3	10_3	cycle_one	Tetracycline_cycle_1	Tetracycline_transfer_to_cycle_2	Tetracycline_cycle_1
X10.C1.1	Control	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C1.2	Control	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C1.6	Control	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C2.1	Control	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C2.4	Control	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C2.5	Control	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C3.2	Control	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C3.3	Control	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C3.4	Control	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
