gene,go
GB11091,GO:0003723
GB14459,GO:0005515
GB14208,GO:0008241
GB14208,GO:0030151
GB14619,GO:0005622
GB14619,GO:0005509
GB14619,GO:0004104
GB14619,GO:0004871
GB14619,GO:0006979
GB14619,GO:0046856
GB12483,GO:0016021
GB12483,GO:0016788
GB12483,GO:0002128
GB15526,GO:0000287
GB15526,GO:0000166
GB15526,GO:0002128
GB11757,GO:0030151
GB13999,GO:0005319
GB13999,GO:0005576
GB13999,GO:0045735
GB18586,GO:0020037
GB18586,GO:0000287
GB18586,GO:0016491
GB15339,GO:0030151
GB16499,GO:0016021
GB16499,GO:0006812
GB10435,GO:0051537
GB10435,GO:0009055
GB10435,GO:0000287
GB10435,GO:0004070
GB10435,GO:0006915
GB12345,GO:0005515
GB13419,GO:0016021
GB13716,GO:0016021
GB12164,GO:0005856
GB12164,GO:0070469
GB12164,GO:0008121
GB12164,GO:0022900
GB15978,GO:0019992
GB13165,GO:0016021
GB13165,GO:0030151
GB19951,GO:0003700
GB11673,GO:0004104
GB11673,GO:0046856
GB19475,GO:0005794
GB19475,GO:0003723
GB19475,GO:0006396
GB11291,GO:0016021
GB11291,GO:0000166
GB11291,GO:0003774
GB17564,GO:0005856
GB17564,GO:0005200
GB17564,GO:0002128
GB10852,GO:0005794
GB10852,GO:0030151
GB10852,GO:0007049
GB15974,GO:0005794
GB15974,GO:0003723
GB15335,GO:0016021
GB13191,GO:0005737
GB13191,GO:0000166
GB13191,GO:0003729
GB15649,GO:0005515
GB19485,GO:0004842
GB19485,GO:0030151
GB10912,GO:0016021
GB15619,GO:0003824
GB16422,GO:0005856
GB16422,GO:0000166
GB16422,GO:0004020
GB19862,GO:0016021
GB19862,GO:0005886
GB19862,GO:0005215
GB19862,GO:0006812
GB13492,GO:0016021
GB12853,GO:0016021
GB12853,GO:0005886
GB12853,GO:0005509
GB12853,GO:0007155
GB10583,GO:0030054
GB10583,GO:0016021
GB10583,GO:0048786
GB10583,GO:0005319
GB16826,GO:0005549
GB12321,GO:0016021
GB12321,GO:0016192
GB13741,GO:0005856
GB13741,GO:0005200
GB13741,GO:0002128
GB16063,GO:0016021
GB16063,GO:0005452
GB12989,GO:0007049
GB11364,GO:0005794
GB11364,GO:0043565
GB11364,GO:0004871
GB11364,GO:0003700
GB11364,GO:0030151
GB11364,GO:0006396
GB11364,GO:0003723
GB16867,GO:0005794
GB16867,GO:0003723
GB16867,GO:0003700
GB16867,GO:0006396
GB11406,GO:0020037
GB11406,GO:0030151
GB11406,GO:0004497
GB11406,GO:0016705
GB12602,GO:0005089
GB12602,GO:1901031
GB12215,GO:0000166
GB12215,GO:0000287
GB12215,GO:0006508
GB30246,GO:0016021
GB30246,GO:0005886
GB30246,GO:0005549
GB30246,GO:0004871
GB16551,GO:0005509
GB16551,GO:0004842
GB16551,GO:0030151
GB18080,GO:0004057
GB11707,GO:0016021
GB13335,GO:0016787
GB13693,GO:0005794
GB13693,GO:0000287
GB13693,GO:0003676
GB13693,GO:0003700
GB13693,GO:0006396
GB18827,GO:0005515
GB16482,GO:0003676
GB16482,GO:0000166
GB13629,GO:0005576
GB13629,GO:0016021
GB13629,GO:0040007
GB16550,GO:0016021
GB17137,GO:0016021
GB17137,GO:0008455
GB14343,GO:0016021
GB14343,GO:0020037
GB14343,GO:0030151
GB14343,GO:0004497
GB14343,GO:0016705
GB11303,GO:0005794
GB11303,GO:0003723
GB11303,GO:0050113
GB11303,GO:0030151
GB11982,GO:0005737
GB18673,GO:0016021
GB18673,GO:0005622
GB18673,GO:0015031
GB18673,GO:0070836
GB18673,GO:0016192
GB12962,GO:0016021
GB12962,GO:0005319
GB16078,GO:0016021
GB18041,GO:0016021
GB16264,GO:0016021
GB16264,GO:0005452
GB30336,GO:0042302
GB16724,GO:0005737
GB16724,GO:0005856
GB18613,GO:0005794
GB18613,GO:0043565
GB18613,GO:0003700
GB15340,GO:0003774
GB15340,GO:0006979
GB13365,GO:0005576
GB13365,GO:0008484
GB18142,GO:0000166
GB18142,GO:0004020
GB18142,GO:0006979
GB19461,GO:0005622
GB12687,GO:0016021
GB10481,GO:0016021
