"gene_id" "target_id" "pval" "qval" "b" "description"
"551576" "XM_026443049.1" 7.4695439021025e-13 8.56009731180947e-09 5.92924665194576 "exocyst complex component 7"
"410003" "XM_016913688.2" 1.68309800758345e-09 9.64415158345316e-06 4.48472925150014 "GIGYF family protein CG11148"
NA "XR_003305590.1" 4.05608004536357e-07 0.00154942257732888 5.48517515342976 NA
"410857" "XM_006568175.3" 9.97850321866997e-06 0.0243359351348381 1.09521263216824 "protein lethal(2)essential for life"
"410233" "XM_026443208.1" 1.0617772746439e-05 0.0243359351348381 5.63001256908086 "extracellular sulfatase SULF-1 homolog"
"724704" "XM_006560840.3" 2.26805732927168e-05 0.0413226935121647 1.16039686840492 "cytoplasmic polyadenylation element-binding protein 2"
"552086" "XM_016917035.2" 2.52407377473955e-05 0.0413226935121647 1.0612253538623 "aldose 1-epimerase"
"677671" "XM_006567333.3" 3.23672583184092e-05 0.0463660975411212 1.93964621471136 NA
"409306" "XM_392824.6" 4.54305942368343e-05 0.0578482899949024 1.06751399357654 "2-oxoisovalerate dehydrogenase subunit beta%2C mitochondrial"
"552771" "XM_625146.6" 5.28445274553025e-05 0.0605598284637767 1.69643264125169 "hydroxyacid oxidase 1"
"408531" "XM_003250287.4" 0.000100766902835242 0.0962323922076557 5.18601158209084 "PRADC1-like protein"
"409268" "XM_026442683.1" 9.79927802500251e-05 0.0962323922076557 5.25599535144832 "uncharacterized protein LOC409268"
"406144" "NM_001011617.1" 0.000121008931184398 0.106674027028708 1.17730247430159 NA
"410710" "XM_016913340.2" 0.000154029608114402 0.126084236356503 0.970255108501009 "zinc transporter ZIP13 homolog"
"408752" "XM_006560953.3" 0.000199820856346597 0.14232309516726 3.91503439617562 "DNA ligase 1"
"411981" "XM_006562082.3" 0.000235032917175776 0.14232309516726 -1.25755795690182 "probable ubiquitin carboxyl-terminal hydrolase FAF-X"
"408474" "XM_006564806.3" 0.000249212678049069 0.14232309516726 0.890035387544477 "apyrase"
"100576421" "XM_006566726.3" 0.000257744452821952 0.14232309516726 5.33751057480509 "uncharacterized protein LOC100576421"
"411113" "XM_006567783.3" 0.00019390905473368 0.14232309516726 3.63664688466782 "solute carrier family 12 member 4"
"552804" "XM_026443967.1" 0.000260801483290791 0.14232309516726 2.44141104598168 "tubulin-specific chaperone cofactor E-like protein"
"725619" "XM_026444795.1" 0.000212708756627674 0.14232309516726 1.29548379507858 "uncharacterized protein LOC725619"
"413457" "XM_006566558.3" 0.000337276809085412 0.175690556005401 5.26304993415022 "zinc finger FYVE domain-containing protein 16"
"724644" "XM_001120535.5" 0.000394751304889716 0.181857674422443 -0.952907432298417 "uncharacterized protein LOC724644"
"410309" "XM_006564318.3" 0.000412591582459294 0.181857674422443 1.41199385367604 NA
"409904" "XM_006570316.3" 0.000399251082793037 0.181857674422443 1.22557629967763 "uncharacterized protein LOC409904"
"411282" "XM_394755.7" 0.000394774302229718 0.181857674422443 3.25667188000514 "basic-leucine zipper transcription factor A"
"551643" "XM_006570581.3" 0.000487822293109644 0.207053462186538 4.52647247735667 NA
"406101" "NM_001011589.1" 0.000571981064739378 0.23410367863976 0.926603359059978 NA
"725453" "XM_003249337.4" 0.000771280135417427 0.290597763550322 1.00982081417457 "guanine nucleotide-binding protein subunit gamma-e"
"409829" "XM_006559335.3" 0.000786084700703314 0.290597763550322 0.963502049696413 "F-box/LRR-repeat protein 2"
"724315" "XM_006561589.3" 0.000740739089288517 0.290597763550322 1.27807369179945 "forkhead box protein D3"
"552101" "XM_016910816.2" 0.000887044453952401 0.308046346736197 0.803212617237318 "uncharacterized protein LOC552101"
"726914" "XM_026441046.1" 0.00088567181636719 0.308046346736197 1.01591446542898 "probable serine/threonine-protein kinase DDB_G0272282"
"410769" "XM_016916693.2" 0.00109082542144393 0.367672333227865 1.4568796019963 "puromycin-sensitive aminopeptidase"
"410487" "XM_393966.5" 0.00112561145287832 0.368557349999588 0.735637321669744 "uncharacterized protein LOC410487"
"408705" "XM_026438908.1" 0.00120341256651124 0.381431106400024 2.41867979121773 "RNA-binding protein 25"
"725864" "XM_026439844.1" 0.00123149659134388 0.381431106400024 4.80014554237996 "bromodomain-containing protein 4"
"726589" "XM_006568802.3" 0.00145651422782213 0.407113489044918 4.73333011830245 "dentin matrix acidic phosphoprotein 1"
"410732" "XM_016914491.2" 0.00143731852853924 0.407113489044918 1.75018846521162 "3-phosphoinositide-dependent protein kinase 1"
"409821" "XM_026438904.1" 0.00144356600224363 0.407113489044918 -5.67107337589063 "twitchin"
"409647" "XM_393145.6" 0.00141194414333282 0.407113489044918 3.56296314668811 "THO complex subunit 1"
