"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "ASV"
"4c8a1a625c561bc51881dfbe9e73be0d" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" "not_available" "ASV0990"
"a8b57a0d21e95df89837509ff045d5d4" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Listeriaceae" "Listeria" "not_available" "ASV0055"
"e4151ac3a903d28ae5057995ce7a152b" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" "uncultured organism" "ASV0510"
"1a574536f8cae4014d0565b0b04b4148" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" "uncultured organism" "ASV1205"
"2225cd187e0c50eb9b2c872f0ac7760e" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" "Sporosarcina" "not_available" "ASV0427"
"eb55592e0efb64cd8dbb1c79a691d32a" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" "Sporosarcina" "not_available" "ASV1693"
"6320e3639980907df6e07ceab5ea6a65" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" "not_available" "ASV1493"
"961418bf191507a9bae4d0f1cf740e92" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV1356"
"c2161cbf9de412845fe0d1e567cafd2f" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0902"
"3472964dac84ca46a01e232fb598ff2d" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0211"
"ff172699f3b2d709003789ac79d1f922" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0438"
"dedd52aa367fcfa4d60b659001558a5a" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0167"
"3b9d7eec7693b44b15b50d9425d3ee97" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0225"
"0ee5d1c578a9fedcb1878f69cfa91339" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0054"
"bdd31c34d3360081acd5d098ab4ac07c" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0079"
"fc213500f16b5b7e172b590036c507a8" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0108"
"0f9e00297ee7346dc0b5ff493a733a66" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0574"
"56c38a1c3031f0e2f752b508c689b8c4" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0102"
"f35f94064728289dbbf0c9f4867cb0e5" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0129"
"e54683fae0b51aa8bc6ad60367796b43" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Staphylococcus" "not_available" "ASV0146"
"7ac25d3137d3d419b8c6bc61a778edfc" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" "not_available" "ASV0056"
"7f6258cc115bb0d65cf1e349f1d93669" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" "not_available" "ASV0086"
"37525ae4b6130d2eed086fd37355c9c3" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" "Bacillus pseudofirmus" "ASV0857"
