target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	884.523	2504	500.642
NM_001011562.1	863	499.105	77.0388	27.2973
NM_001011563.1	2084	1717.52	687	70.7386
NM_001011564.2	1326	959.523	198	36.4932
NM_001011565.1	3023	2656.52	61.9885	4.12667
NM_001011566.1	1503	1136.52	16.3787	2.5486
NM_001011567.1	4030	3663.52	9	0.434456
NM_001011568.1	2077	1710.52	0	0
NM_001011570.1	582	260.955	150	101.655
NM_001011571.1	2093	1726.52	3.59435	0.368171
NM_001011572.1	2346	1979.52	99387	8879.14
NM_001011573.1	3160	2793.52	0	0
NM_001011574.1	1940	1573.52	12	1.34868
NM_001011575.1	2163	1796.52	34	3.34694
NM_001011576.1	1195	828.523	0	0
NM_001011577.1	2389	2022.52	71.8483	6.28239
NM_001011578.1	5441	5074.52	1302	45.3751
NM_001011579.1	1430	1063.52	0	0
NM_001011580.1	1544	1177.52	0	0
NM_001011581.1	2439	2072.52	80.2955	6.85163
NM_001011582.1	356	139.242	0	0
NM_001011583.2	635	299.157	48150	28464.2
NM_001011584.1	1606	1239.52	0	0
NM_001011585.1	1638	1271.52	0	0
NM_001011586.1	2205	1838.52	156	15.0057
NM_001011587.1	496	207.193	630.738	538.364
NM_001011588.1	724	371.387	13	6.19039
NM_001011589.1	624	290.915	214	130.092
NM_001011590.1	574	255.524	0	0
NM_001011591.1	584	262.327	0	0
NM_001011592.1	1590	1223.52	858.835	124.137
NM_001011593.1	548	238.487	0	0
NM_001011594.1	4195	3828.52	0	0
NM_001011595.1	2818	2451.52	0	0
NM_001011596.1	4100	3733.52	75.3977	3.57142
NM_001011597.1	2673	2306.52	0	0
NM_001011598.1	1624	1257.52	3493	491.23
NM_001011599.1	1942	1575.52	0	0
NM_001011600.1	2052	1685.52	16	1.67876
NM_001011601.1	1830	1463.52	0	0
NM_001011602.1	2795	2428.52	65	4.7334
NM_001011603.1	1683	1316.52	292.358	39.2725
NM_001011604.3	685	338.582	2488.92	1300.02
NM_001011605.1	1448	1081.52	88	14.3896
NM_001011606.1	1757	1390.52	0	0
NM_001011607.2	381	149.89	82350	97160.9
NM_001011608.1	1873	1506.52	101	11.8563
NM_001011610.1	1612	1245.52	0	0
NM_001011611.2	369	144.712	605	739.356
NM_001011612.1	304	118.626	0	0
NM_001011613.1	710	359.42	98281	48358.2
NM_001011614.1	688	341.045	17650	9152.41
NM_001011615.1	664	321.643	194957	107193
NM_001011616.2	680	334.5	111259	58822.1
NM_001011617.1	374	146.854	1903	2291.69
NM_001011618.1	523	222.986	933	739.958
NM_001011619.1	1559	1192.52	153.369	22.7443
NM_001011620.1	957	590.91	0	0
NM_001011621.1	3254	2887.52	0	0
NM_001011622.1	1529	1162.52	0	0
NM_001011623.1	3376	3009.52	0	0
NM_001011624.1	4969	4602.52	0	0
NM_001011625.2	1940	1573.52	0	0
NM_001011626.2	755	398.583	1046	464.104
NM_001011627.1	2520	2153.52	480	39.4179
