"gene_id" "target_id" "pval" "qval" "b" "description"
"1" "408650" "XM_392190.7" 5.36716169082169e-16 5.71334361987969e-12 -2.64481684882854 "inositol oxygenase"
"2" "410167" "XM_393651.6" 2.16470047249719e-09 3.29189093281894e-06 -1.76638256507534 "uncharacterized protein LOC410167"
"3" "724838" "XM_026443365.1" 8.23026604381783e-08 9.73457578182675e-05 -1.66933842848667 "uncharacterized protein LOC724838"
"4" "724899" "XM_026444741.1" 1.24347382195561e-07 0.000132367788347175 -1.53393885649192 "lysozyme"
"5" "552073" "XM_006568959.2" 7.13096988890196e-07 0.000446524555690361 -1.41128650814843 "arylsulfatase B"
"6" "411385" "XM_394859.7" 1.23441716962644e-06 0.00069159846161439 -1.33012205207658 "ester hydrolase C11orf54 homolog"
"7" "678674" "NM_001040270.1" 1.35235493026113e-06 0.000719790911631488 -1.86189606928635 "allergen Api m 6 precursor"
"8" "410635" "XM_394112.7" 1.48757163524989e-06 0.000754057145582623 -1.32665828644331 "fumarylacetoacetate hydrolase domain-containing protein 2A"
"9" "410734" "XM_394210.7" 3.7745837470757e-06 0.00174697582554873 -1.45849089352436 "glucose dehydrogenase [FAD%2C quinone]"
"10" "724971" "XM_026440393.1" 6.02492215418137e-06 0.00246674216658695 -1.25089753557926 "uncharacterized protein LOC724971"
"11" "677671" "XM_006567332.3" 6.98926367163982e-06 0.00275558191794837 -3.05828148576099 NA
"12" "408603" "XM_392145.7" 7.58732439797125e-06 0.00288453815058585 -2.43180104056196 "glucose dehydrogenase [FAD%2C quinone]"
"13" "410337" "XM_026443541.1" 1.33348635284175e-05 0.00473165407533346 -1.46710390091963 "venom dipeptidyl peptidase 4"
"14" "408961" "XM_026442500.1" 3.6380247913277e-05 0.0110647925439095 -2.08833502082971 "apolipophorins"
"15" "100577699" "XM_003250404.3" 4.11412436958363e-05 0.0121652371983938 -1.35728431569571 "5-formyltetrahydrofolate cyclo-ligase"
"16" "102655622" "XM_016911802.2" 4.24107992188535e-05 0.0122017015590458 -1.26426892164286 NA
"17" "409150" "XM_001123353.5" 4.40837607257008e-05 0.0123492534980285 -1.17160365483192 "probable enoyl-CoA hydratase%2C mitochondrial"
"18" "107963996" "XM_016916938.2" 5.31000161297907e-05 0.0144935813256826 -2.2905159331096 NA
"19" "408539" "XM_392085.7" 5.87925815588657e-05 0.015264561724247 -1.61022997298521 "sideroflexin-3"
"20" "406066" "NM_001011563.1" 6.37540743515297e-05 0.0161586219398103 -1.60563776991085 NA
"21" "677665" "XM_016916804.2" 9.90641733273761e-05 0.0234341805571093 -2.06751507174104 NA
"22" "408797" "XM_026440227.1" 0.00010572928570347 0.0244671357894226 -1.06242252554003 "LOW QUALITY PROTEIN: nidogen-2"
"23" "724211" "XM_001119981.5" 0.000119146326123584 0.0269853753528841 -1.69940879535764 "cytochrome P450 9e2"
"24" "408453" "XM_006562300.3" 0.000138867127416293 0.0307966785697175 -1.16964610757015 "cytochrome P450 9e2"
"25" "724777" "NM_001270813.1" 0.000157908709155504 0.0343048614073539 -1.28427265617517 NA
"26" "726965" "XM_006563652.3" 0.000186939817541824 0.0390191050535826 -1.24484976861505 NA
"27" "727472" "NM_001163715.1" 0.000194266969606174 0.0397686902203408 -2.02102028160998 NA
"28" NA "XR_001703751.2" 0.000216854377509373 0.0427484231219867 -1.3696649865076 NA
"29" "409490" "XM_026445268.1" 0.000223824858171449 0.0433202839133651 -1.02560935855833 NA
