"gene_id" "target_id" "pval" "qval" "b" "description"
"408650" "XM_392190.7" 5.36716169082169e-16 5.71334361987969e-12 -2.64481684882854 "inositol oxygenase"
"409904" "XM_006570314.3" 3.2543777293451e-13 1.73214254644393e-09 6.59960814077296 "uncharacterized protein LOC409904"
"411114" "XM_394588.7" 4.97016485952413e-12 1.76358016432114e-08 6.40413909750322 "synaptosomal-associated protein 25"
"408589" "XM_006570583.3" 7.9977369112288e-12 2.12839773550076e-08 5.77847009009574 "uncharacterized protein LOC408589"
NA "XR_003304650.1" 2.5724465693317e-10 5.47673874610719e-07 6.82467890122382 NA
NA "XR_003304681.1" 4.01545268871108e-10 7.12408231188824e-07 6.19917709945762 NA
"410167" "XM_393651.6" 2.16470047249719e-09 3.29189093281894e-06 -1.76638256507534 "uncharacterized protein LOC410167"
"409910" "XM_016911392.2" 5.33558153958999e-08 7.09965818611693e-05 6.09443421595878 "ras-like GTP-binding protein Rho1"
"724838" "XM_026443365.1" 8.23026604381783e-08 9.73457578182675e-05 -1.66933842848667 "uncharacterized protein LOC724838"
"724899" "XM_026444741.1" 1.24347382195561e-07 0.000132367788347175 -1.53393885649192 "lysozyme"
"100578159" "XM_006570298.3" 1.5949634234478e-07 0.000154348960387289 6.04384317807683 NA
"410710" "XM_016913340.2" 2.22178027642876e-07 0.000197090425354868 5.38798946911346 "zinc transporter ZIP13 homolog"
"408766" "XM_006558742.3" 2.6549920751704e-07 0.00021740300492453 6.36230377573333 "phosphatidylcholine:ceramide cholinephosphotransferase 2"
"410204" "XM_026443232.1" 3.68013335714751e-07 0.000279821568477394 5.78137170544185 "titin"
"552572" "XM_026440587.1" 5.07879807294458e-07 0.000360425369909967 5.80345782901824 "eukaryotic translation initiation factor 5A"
"409574" "XM_026444024.1" 6.07705141400626e-07 0.000404313826888104 5.70699542054918 "6-phosphofructo-2-kinase/fructose-2%2C6-bisphosphatase 1"
"552073" "XM_006568959.2" 7.13096988890196e-07 0.000446524555690361 -1.41128650814843 "arylsulfatase B"
"724129" "XM_016911264.2" 8.91106858952484e-07 0.000526990695197177 2.50603200843287 "pescadillo homolog"
"411385" "XM_394859.7" 1.23441716962644e-06 0.00069159846161439 -1.33012205207658 "ester hydrolase C11orf54 homolog"
"678674" "NM_001040270.1" 1.35235493026113e-06 0.000719790911631488 -1.86189606928635 "allergen Api m 6 precursor"
"410635" "XM_394112.7" 1.48757163524989e-06 0.000754057145582623 -1.32665828644331 "fumarylacetoacetate hydrolase domain-containing protein 2A"
"409843" "XM_026442162.1" 3.43505325636844e-06 0.00166209735972918 6.0874605000686 "myosin heavy chain%2C muscle"
"410734" "XM_394210.7" 3.7745837470757e-06 0.00174697582554873 -1.45849089352436 "glucose dehydrogenase [FAD%2C quinone]"
"724929" "XM_001120829.5" 3.96898892560911e-06 0.00176041196304621 6.01172765127628 "serine/threonine-protein kinase tricorner"
"413416" "XM_026439400.1" 5.02520700506625e-06 0.00213973314275721 5.20062325647179 "protein bicaudal C homolog 1-B"
"724971" "XM_026440393.1" 6.02492215418137e-06 0.00246674216658695 -1.25089753557926 "uncharacterized protein LOC724971"
"677671" "XM_006567332.3" 6.98926367163982e-06 0.00275558191794837 -3.05828148576099 NA
"408603" "XM_392145.7" 7.58732439797125e-06 0.00288453815058585 -2.43180104056196 "glucose dehydrogenase [FAD%2C quinone]"
"410211" "XM_026443384.1" 1.09567717156472e-05 0.00402189085907119 5.66965348793496 "four and a half LIM domains protein 2"
"410337" "XM_026443541.1" 1.33348635284175e-05 0.00473165407533346 -1.46710390091963 "venom dipeptidyl peptidase 4"
"725290" "XM_006558488.3" 1.58311250513251e-05 0.00543620407004375 5.88735546719064 "transcription factor CP2-like protein 1"
"725550" "XM_001121383.5" 1.8081283923194e-05 0.006014852105075 1.48746838944128 "proteasome activator complex subunit 4A"
"727574" "XM_026446411.1" 2.39336066164734e-05 0.00772040128582906 5.36671001843953 "transcription initiation factor TFIID subunit 3-like"
"724368" "XM_016911650.2" 3.60216243059714e-05 0.0110647925439095 5.72766183929506 "dnaJ homolog subfamily A member 1"
"408961" "XM_026442500.1" 3.6380247913277e-05 0.0110647925439095 -2.08833502082971 "apolipophorins"
"100577699" "XM_003250404.3" 4.11412436958363e-05 0.0121652371983938 -1.35728431569571 "5-formyltetrahydrofolate cyclo-ligase"
"102655622" "XM_016911802.2" 4.24107992188535e-05 0.0122017015590458 -1.26426892164286 NA
"409150" "XM_001123353.5" 4.40837607257008e-05 0.0123492534980285 -1.17160365483192 "probable enoyl-CoA hydratase%2C mitochondrial"
"107963996" "XM_016916938.2" 5.31000161297907e-05 0.0144935813256826 -2.2905159331096 NA
"408539" "XM_392085.7" 5.87925815588657e-05 0.015264561724247 -1.61022997298521 "sideroflexin-3"
"494509" "XM_623943.6" 5.75063742587476e-05 0.015264561724247 8.6428456259433 "protein Malvolio"
"406066" "NM_001011563.1" 6.37540743515297e-05 0.0161586219398103 -1.60563776991085 NA
"107965692" "XM_026445902.1" 8.76226606907596e-05 0.0216917028617008 5.22297422270203 NA
"411631" "XM_026440560.1" 9.28211435649774e-05 0.0224563880283906 5.25543862866696 "liprin-beta-1"
"677665" "XM_016916804.2" 9.90641733273761e-05 0.0234341805571093 -2.06751507174104 NA
"408797" "XM_026440227.1" 0.00010572928570347 0.0244671357894226 -1.06242252554003 "LOW QUALITY PROTEIN: nidogen-2"
"724211" "XM_001119981.5" 0.000119146326123584 0.0269853753528841 -1.69940879535764 "cytochrome P450 9e2"
"408453" "XM_006562300.3" 0.000138867127416293 0.0307966785697175 -1.16964610757015 "cytochrome P450 9e2"
"724777" "NM_001270813.1" 0.000157908709155504 0.0343048614073539 -1.28427265617517 NA
NA "XR_003305329.1" 0.000162468380251456 0.034589518155535 5.44176039459271 NA
"726965" "XM_006563652.3" 0.000186939817541824 0.0390191050535826 -1.24484976861505 NA
"727472" "NM_001163715.1" 0.000194266969606174 0.0397686902203408 -2.02102028160998 NA
"410527" "XM_394006.7" 0.000200225504322121 0.0402151036511129 1.09247480756365 "probable cation-transporting ATPase 13A3"
NA "XR_001703751.2" 0.000216854377509373 0.0427484231219867 -1.3696649865076 NA
"409490" "XM_026445268.1" 0.000223824858171449 0.0433202839133651 -1.02560935855833 NA
"551551" "XM_016916653.1" 0.000229671606745713 0.0436581116751449 5.46592405261857 "pre-mRNA-splicing factor Slu7"
"411983" "XM_006572213.3" 0.000260274899220321 0.0486074789859705 6.92336089745611 "uncharacterized protein LOC411983"
"408501" "XM_392044.7" 0.000270879536684901 0.0497157356553582 6.29330384148427 "serine/threonine-protein kinase/endoribonuclease IRE1"
"412215" "XM_016915248.2" 0.000328319735034863 0.0592366708380698 6.72802933414402 "chitin synthase chs-2"
"409490" "XM_006563331.3" 0.000344207299975189 0.0610681118039314 -1.02109287273475 NA
"413875" "XM_003251119.4" 0.000372377042401411 0.0611181259252449 5.31614615902212 "60S ribosomal protein L31"
"724901" "XM_006559838.3" 0.000384679608923571 0.0611181259252449 6.32767915081917 "bleomycin hydrolase"
"409515" "XM_006561609.3" 0.000357215044012057 0.0611181259252449 6.22537923205428 "long-chain-fatty-acid--CoA ligase 4"
