"gene_id" "target_id" "pval" "qval" "b" "description"
"551643" "XM_006570579.3" 3.2347240779991e-45 4.07025330734627e-41 -7.47545675435812 NA
"410007" "XM_006563936.2" 4.23262837477113e-28 2.66295814198725e-24 -6.39777511797262 "putative phospholipase B-like lamina ancestor"
"725167" "XM_016911159.2" 3.11002074763176e-27 1.30444636891502e-23 -6.19411644700758 "uncharacterized protein LOC725167"
"408955" "XM_392483.6" 3.18172524797573e-21 1.00089121988196e-17 -6.08557964507586 "4-aminobutyrate aminotransferase%2C mitochondrial"
"408504" "XM_392047.7" 5.41625119138251e-21 1.36305377482332e-17 -6.0325570896881 "protein FAM160B1"
"551208" "XM_006571539.3" 1.53259423797664e-15 3.21410554941e-12 -5.83032223762318 "3-hydroxyisobutyrate dehydrogenase%2C mitochondrial"
"411570" "XM_006561024.3" 4.69608614337281e-15 7.38635649275751e-12 -6.9541698976374 "TPPP family protein CG45057"
"413141" "XM_006567171.3" 4.33001430594338e-15 7.38635649275751e-12 -6.16269595243441 "oxidative stress-induced growth inhibitor 1"
"409124" "XM_006558984.3" 1.16492896228804e-13 1.62870012583004e-10 -5.74407024153717 "twisted gastrulation protein homolog 1-A"
"551892" "XM_006561927.3" 2.01558630109942e-13 2.5362122426734e-10 -6.0529636647178 "cytoplasmic protein NCK1"
"411813" "XM_006559258.3" 3.10817073556474e-13 3.5554647605101e-10 -5.96785282085162 "NADP-dependent malic enzyme"
"724439" "XM_001120296.5" 2.60967706817613e-12 2.73646387907168e-09 -2.16603863786665 "uncharacterized protein LOC724439"
"100577019" "XM_006570837.3" 4.36315015391452e-12 4.22319372205434e-09 -6.48654816367329 "protein quiver"
"408809" "XM_006562668.3" 2.24734581058811e-11 2.01988230961644e-08 1.43596539635929 "diacylglycerol kinase theta"
"412115" "XM_395581.7" 2.41588439290727e-11 2.02660488773014e-08 -5.73927731864967 "autophagy-related protein 9A"
"725529" "XM_026440894.1" 4.9436250928593e-11 3.88785215896554e-08 -5.61221794273248 NA
"410211" "XM_006566014.3" 2.88987810114886e-10 2.13901977333859e-07 -5.55978271222351 "four and a half LIM domains protein 2"
"727574" "XM_026446411.1" 1.42551328939287e-09 9.96512984468358e-07 1.93590478894651 "transcription initiation factor TFIID subunit 3-like"
