target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	884.523	2739	880.902
NM_001011562.1	863	499.105	34	19.379
NM_001011563.1	2084	1717.52	1396	231.221
NM_001011564.2	1326	959.523	217	64.3352
NM_001011565.1	3023	2656.52	0	0
NM_001011566.1	1503	1136.52	0	0
NM_001011567.1	4030	3663.52	0	0
NM_001011568.1	2077	1710.52	0	0
NM_001011570.1	582	260.955	37	40.3348
NM_001011571.1	2093	1726.52	0	0
NM_001011572.1	2346	1979.52	9160	1316.37
NM_001011573.1	3160	2793.52	0	0
NM_001011574.1	1940	1573.52	0	0
NM_001011575.1	2163	1796.52	21	3.3253
NM_001011576.1	1195	828.523	0	0
NM_001011577.1	2389	2022.52	92.4692	13.0061
NM_001011578.1	5441	5074.52	10386	582.234
NM_001011579.1	1430	1063.52	0	0
NM_001011580.1	1544	1177.52	0	0
NM_001011581.1	2439	2072.52	0	0
NM_001011582.1	356	139.242	0	0
NM_001011583.2	635	299.157	24707	23494.4
NM_001011584.1	1606	1239.52	0	0
NM_001011585.1	1638	1271.52	0	0
NM_001011586.1	2205	1838.52	0	0
NM_001011587.1	496	207.193	116.418	159.841
NM_001011588.1	724	371.387	25	19.1495
NM_001011589.1	624	290.915	332	324.65
NM_001011590.1	574	255.524	0	0
NM_001011591.1	584	262.327	0	0
NM_001011592.1	1590	1223.52	988	229.715
NM_001011593.1	548	238.487	0	0
NM_001011594.1	4195	3828.52	0	0
NM_001011595.1	2818	2451.52	17	1.97268
NM_001011596.1	4100	3733.52	28	2.13346
NM_001011597.1	2673	2306.52	0	0
NM_001011598.1	1624	1257.52	1182	267.39
NM_001011599.1	1942	1575.52	0	0
NM_001011600.1	2052	1685.52	83	14.0084
NM_001011601.1	1830	1463.52	0	0
NM_001011602.1	2795	2428.52	48	5.62268
NM_001011603.1	1683	1316.52	758.586	163.916
NM_001011604.3	685	338.582	1366.13	1147.82
NM_001011605.1	1448	1081.52	9	2.36729
NM_001011606.1	1757	1390.52	5	1.02291
NM_001011607.2	381	149.89	25106	47648.3
NM_001011608.1	1873	1506.52	174	32.8562
NM_001011610.1	1612	1245.52	0	0
NM_001011611.2	369	144.712	203	399.058
NM_001011612.1	304	118.626	0	0
NM_001011613.1	710	359.42	84920	67212.9
NM_001011614.1	688	341.045	7901	6590.45
NM_001011615.1	664	321.643	29005	25653.3
NM_001011616.2	680	334.5	752	639.537
NM_001011617.1	374	146.854	9937	19249.2
NM_001011618.1	523	222.986	95	121.197
NM_001011619.1	1559	1192.52	82.8872	19.7727
NM_001011620.1	957	590.91	0	0
NM_001011621.1	3254	2887.52	0	0
NM_001011622.1	1529	1162.52	0	0
NM_001011623.1	3376	3009.52	0	0
NM_001011624.1	4969	4602.52	0	0
NM_001011625.2	1940	1573.52	0	0
NM_001011626.2	755	398.583	738	526.723
NM_001011627.1	2520	2153.52	535	70.6722
NM_001011628.2	1386	1019.52	149.278	41.6526
NM_001011629.1	14440	14073.5	167.577	3.38731
NM_001011630.1	630	295.391	500.938	482.426
NM_001011631.1	1741	1374.52	0	0
NM_001011632.2	2009	1642.52	0	0
NM_001011633.1	1533	1166.52	46.9601	11.452
NM_001011634.2	3754	3387.52	0	0
NM_001011635.1	1447	1080.52	105	27.6439
NM_001011636.1	570	252.842	989	1112.73
NM_001011637.1	1369	1002.52	0	0
NM_001011638.1	584	262.327	0	0
NM_001011639.2	1806	1439.52	0	0
NM_001011640.1	991	624.58	1205	548.837
NM_001011641.1	970	603.765	0	0
NM_001011643.1	2378	2011.52	0	0
NM_001011644.2	1200	833.523	0	0
NM_001011650.1	2242	1875.52	0	0
NM_001011652.2	969	602.775	0	0
NM_001011653.2	898	532.99	0	0
NM_001011654.2	749	393.249	82.6498	59.7886
NM_001012429.1	672	328.032	606.564	526.022
NM_001012615.1	1097	730.523	42	16.3554
NM_001012627.1	3153	2786.52	0	0
NM_001012962.1	3606	3239.52	21	1.84409
NM_001012963.1	502	210.619	0	0
NM_001013006.1	2991	2624.52	0	0
NM_001013359.2	1964	1597.52	0	0
NM_001013361.1	4113	3746.52	164	12.4526
NM_001014429.1	1427	1060.52	0	0
NM_001014430.1	438	176.415	0	0
NM_001014983.1	3250	2883.52	0	0
NM_001014991.1	7242	6875.52	0	0
NM_001014992.2	2498	2131.52	119.525	15.9519
NM_001014993.1	1386	1019.52	663.053	185.01
NM_001014994.1	1892	1525.52	1457.44	271.78
NM_001024697.1	1793	1426.52	543	108.284
NM_001032361.1	3585	3218.52	0	0
NM_001037318.2	2515	2148.52	0	0
NM_001039968.1	1349	982.523	0	0
NM_001040203.1	644	306.019	0	0
NM_001040204.1	793	433.065	0	0
NM_001040205.1	698	349.329	291	236.975
NM_001040206.1	682	336.129	969	820.09
NM_001040207.1	1179	812.523	347	121.489
NM_001040208.1	582	260.955	140	152.618
NM_001040209.1	588	265.086	352.92	378.732
NM_001040220.1	483	199.93	0	0
NM_001040221.1	459	187.084	0	0
NM_001040223.1	555	242.982	873	1022.08
NM_001040224.1	399	157.909	0	0
NM_001040225.1	407	161.574	0	0
NM_001040226.1	432	173.461	0	0
NM_001040227.1	724	371.387	961	736.106
NM_001040229.1	453	183.983	0	0
NM_001040230.1	13107	12740.5	12	0.26794
NM_001040231.1	363	142.17	0	0
NM_001040233.1	1647	1280.52	3038.03	674.914
NM_001040234.1	1500	1133.52	735.373	184.553
NM_001040235.2	6077	5710.52	0	0
NM_001040236.1	1767	1400.52	23329	4738.6
NM_001040237.1	5107	4740.52	36	2.16033
NM_001040255.1	1893	1526.52	0	0
NM_001040256.1	767	409.346	709.212	492.867
NM_001040257.1	1554	1187.52	0	0
NM_001040258.1	1250	883.523	1627.36	523.976
NM_001040259.1	1743	1376.52	36454	7533.66
NM_001040262.2	438	176.415	0	0
NM_001040263.1	1550	1183.52	79	18.9887
NM_001040264.1	1600	1233.52	23	5.30426
NM_001040265.1	1689	1322.52	120	25.812
NM_001040266.2	1599	1232.52	0	0
NM_001040267.1	1895	1528.52	123	22.8917
NM_001040269.1	1397	1030.52	0	0
NM_001040270.1	509	214.676	254	336.586
NM_001040277.1	2150	1783.52	0	0
NM_001040681.1	2499	2132.52	26	3.46836
NM_001042458.1	1737	1370.52	0	0
NM_001042460.1	1794	1427.52	73.3513	14.6174
NM_001077808.1	5328	4961.52	6	0.344017
NM_001077809.1	1344	977.523	0	0
NM_001077810.1	354	138.413	21	43.1605
NM_001077811.1	1287	920.523	0	0
NM_001077812.1	1470	1103.52	0	0
NM_001077813.1	3226	2859.52	40	3.97934
NM_001077814.1	387	152.529	0	0
NM_001077815.1	1855	1488.52	15	2.86669
NM_001077816.1	1530	1163.52	0	0
NM_001077817.1	1194	827.523	0	0
NM_001077818.1	1707	1340.52	0	0
NM_001077819.1	378	148.584	0	0
NM_001077820.1	351	137.175	148	306.923
NM_001077821.1	4097	3730.52	0	0
NM_001077822.1	1533	1166.52	0	0
NM_001077823.2	516	218.798	478.716	622.415
NM_001077824.1	1842	1475.52	0	0
NM_001077825.1	1158	791.523	0	0
NM_001078661.1	315	122.838	0	0
NM_001079560.1	1607	1240.52	0	0
NM_001079561.1	1701	1334.52	0	0
NM_001080094.2	2123	1756.52	15	2.4293
NM_001080095.1	1590	1223.52	0	0
NM_001080110.1	2703	2336.52	100.376	12.221
NM_001080205.1	2713	2346.52	88	10.6685
NM_001083630.1	1713	1346.52	34.4201	7.27182
NM_001085344.1	515	218.205	701	913.899
NM_001085345.1	1491	1124.52	23457	5934.01
NM_001085346.1	509	214.676	10747.4	14241.8
NM_001097154.2	1766	1399.52	1320	268.311
NM_001098167.1	767	409.346	0	0
NM_001098214.1	1863	1496.52	0	0
NM_001098215.2	2635	2268.52	0	0
NM_001098217.1	2187	1820.52	0	0
NM_001098218.1	2148	1781.52	37	5.90819
NM_001098219.1	2139	1772.52	0	0
NM_001098220.1	1806	1439.52	0	0
NM_001098221.1	1763	1396.52	0	0
NM_001098223.1	1436	1069.52	21	5.58565
NM_001098224.2	1333	966.523	256	75.3481
NM_001098228.1	1286	919.523	0	0
NM_001098229.1	1284	917.523	15	4.6507
NM_001098232.1	1146	779.523	0	0
NM_001098234.1	462	188.651	0	0
NM_001098717.1	2199	1832.52	41	6.36471
NM_001101023.1	3033	2666.52	0	0
NM_001104949.1	3122	2755.52	13	1.3421
NM_001110712.2	754	397.692	0	0
NM_001110764.1	2606	2239.52	315	40.0128
NM_001111255.1	2504	2137.52	0	0
NM_001112670.1	3330	2963.52	0	0
NM_001112671.1	3001	2634.52	169.45	18.2972
NM_001112672.2	1701	1334.52	0	0
NM_001113285.1	2779	2412.52	4.05432	0.478069
NM_001113739.1	1509	1142.52	33.1183	8.24607
NM_001114188.1	1950	1583.52	0	0
NM_001114198.1	730	376.578	5882.69	4443.91
NM_001115078.1	2659	2292.52	78	9.67888
NM_001123013.2	6157	5790.52	0	0
NM_001126243.2	2949	2582.52	668.016	73.5846
NM_001126244.1	1674	1307.52	0	0
NM_001131037.1	1164	797.523	0	0
NM_001131038.1	2722	2355.52	24	2.89847
NM_001134227.1	1704	1337.52	703.184	149.559
NM_001134333.1	282	110.398	0	0
NM_001134371.1	591	267.171	39	41.526
NM_001134668.1	2541	2174.52	172	22.5014
NM_001134669.1	584	262.327	0	0
NM_001134722.1	105	46.6708	0	0
NM_001134828.1	1495	1128.52	65	16.385
NM_001134934.1	3281	2914.52	0	0
NM_001134935.1	2337	1970.52	0	0
NM_001134936.1	1992	1625.52	0	0
NM_001134940.1	1464	1097.52	0	0
NM_001134942.1	1621	1254.52	78	17.6873
NM_001134943.1	1434	1067.52	0	0
NM_001134947.1	1760	1393.52	90	18.3727
NM_001134948.1	3181	2814.52	0	0
NM_001134949.1	3346	2979.52	449.709	42.9368
NM_001134950.1	2295	1928.52	0	0
NM_001135735.1	1032	665.523	6135	2622.38
NM_001135905.1	488	202.698	275	385.947
NM_001135909.1	320	124.777	21	47.8773
NM_001136187.1	614	283.563	405	406.302
NM_001136206.1	1002	635.523	0	0
NM_001136207.1	930	564.306	0	0
NM_001136208.1	1008	641.523	0	0
NM_001136209.1	1029	662.523	0	0
NM_001141964.1	2248	1881.52	877	132.597
NM_001142436.1	1295	928.523	191	58.5174
NM_001142461.1	824	461.968	41	25.2474
NM_001142561.1	1943	1576.52	0	0
NM_001142607.1	642	304.485	13	12.1457
NM_001142609.1	1671	1304.52	0	0
NM_001142637.1	999	632.523	0	0
NM_001142656.2	710	359.42	0	0
NM_001142693.1	1386	1019.52	0	0
NM_001143878.1	1377	1010.52	0	0
NM_001143879.1	1428	1061.52	0	0
NM_001143880.1	1470	1103.52	0	0
NM_001143921.1	2102	1735.52	0	0
NM_001144839.2	596	270.673	104.921	110.272
NM_001145735.2	1347	980.523	0	0
NM_001145736.1	2424	2057.52	0	0
NM_001145737.1	2433	2066.52	0	0
NM_001145738.1	2787	2420.52	0	0
NM_001145739.1	2553	2186.52	0	0
NM_001145740.1	3633	3266.52	0	0
NM_001159303.1	1404	1037.52	0	0
NM_001159355.1	2782	2415.52	26	3.06201
NM_001160048.1	2747	2380.52	1268	151.527
NM_001160050.1	2417	2050.52	16415	2277.3
NM_001160052.1	2920	2553.52	2444	272.274
NM_001160064.1	2844	2477.52	3700	424.843
NM_001160072.1	2237	1870.52	779	118.473
NM_001160270.1	698	349.329	922.874	751.539
NM_001160405.2	2980	2613.52	102.446	11.151
NM_001161709.2	856	492.385	224	129.416
NM_001161787.1	927	561.359	1137	576.186
NM_001161788.1	843	479.966	47.0029	27.8586
NM_001161831.1	683	336.946	1228	1036.77
NM_001162398.1	165	68.7806	0	0
