"gene_id" "target_id" "pval" "qval" "b" "description"
"1" "724367" "XM_001120006.5" 2.39309498436793e-47 1.38943094792402e-43 -4.73958716828923 "protein lethal(2)essential for life"
"2" "410087" "XM_026439152.1" 4.43849908250323e-31 1.71799504486758e-27 -3.02383439213167 "uncharacterized protein LOC410087"
"3" "411188" "XM_006569399.3" 1.40588254976792e-21 2.72085136131751e-18 -3.50047325121643 "L-lactate dehydrogenase"
"4" "551088" "XM_623487.6" 9.66102141431328e-16 9.34864838858382e-13 -1.57542919419088 "asparagine--tRNA ligase%2C cytoplasmic"
"5" "410920" "XM_394396.6" 9.25551000010524e-15 7.67678443723015e-12 -2.00057416640224 "putative inorganic phosphate cotransporter"
"6" "100578660" "XM_026444295.1" 2.30973813141656e-14 1.78804527880061e-11 -1.56980462377083 "eukaryotic translation initiation factor 2 subunit 2"
"7" "552381" "XM_003250481.4" 1.40627057063735e-10 6.53184554649635e-08 -1.5963905133853 "neutral and basic amino acid transport protein rBAT"
"8" "100577242" "XM_026439806.1" 1.09490803631443e-09 3.97314753677599e-07 -1.40687997222392 "LOW QUALITY PROTEIN: sterile alpha and TIR motif-containing protein 1"
"9" "726980" "XM_026440041.1" 1.66241821071911e-09 5.51542864653436e-07 -1.48289570612484 "uncharacterized protein LOC726980"
"10" "102655788" "XM_006557892.3" 2.43763847618564e-09 7.86273832929656e-07 -3.15262377665109 NA
"11" "408605" "NM_001160048.1" 3.61486786113618e-09 1.11141820439148e-06 -1.1140089235691 NA
"12" "410032" "NM_001178026.1" 4.79010927381263e-09 1.35665241189054e-06 -1.31131230778964 NA
"13" "726418" "XM_001122155.5" 8.60388879322748e-09 2.27064446970358e-06 -1.26083986624002 "flavin-containing monooxygenase FMO GS-OX-like 4"
"14" "100576878" "XM_006562604.2" 1.55684391760307e-08 3.7662649106681e-06 -1.51643439483761 "uncharacterized protein LOC100576878"
"15" "411188" "XM_394662.7" 3.18229700041497e-08 7.10631399400358e-06 -6.54058521350805 "L-lactate dehydrogenase"
"16" "410032" "XM_006563201.3" 4.06083296530061e-08 8.57352588964922e-06 -1.15949993146966 NA
"17" "409954" "XM_003249241.4" 6.79858342980892e-08 1.3380534031685e-05 -1.0812852768397 "peroxiredoxin 1"
"18" "725760" "XM_001121569.5" 1.06396491510612e-07 1.99270332164714e-05 -1.13822871515747 "tetraspanin-2A"
"19" "551205" "XM_623600.5" 1.29446622040084e-07 2.34864714863977e-05 -1.05511495592705 "neutral alpha-glucosidase AB"
"20" "406108" "NM_001011592.1" 1.66277212876591e-07 2.97047845526611e-05 -0.99222679410006 NA
"21" "552832" "XM_625207.5" 1.76560860208234e-07 3.10640107384547e-05 -1.90725573806698 "glycine N-methyltransferase"
"22" "102654968" "XM_006565206.3" 2.03742652360726e-07 3.47920541060698e-05 -5.3861563503128 NA
"23" "102654520" "XM_016917117.2" 2.22551798297805e-07 3.74532098816537e-05 -1.88897344812373 NA
"24" "409384" "XM_392899.7" 6.06807584040314e-07 9.52195900794071e-05 -0.963289572500809 "heat shock protein 60A"
"25" "726375" "XM_001122118.5" 1.1868608732648e-06 0.000172272855754386 -1.67474998404539 "bone morphogenetic protein 2-B"
"26" "408388" "XM_006566962.3" 1.97152257732953e-06 0.000263141611125867 -0.9273458813065 "tubulin alpha-1 chain"
"27" "408303" "XM_391854.7" 2.02009414785319e-06 0.000266560605055356 -1.0599955007078 "protein lifeguard 1"
