target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	884.523	7987	1180.98
NM_001011562.1	863	499.105	151.423	39.6796
NM_001011563.1	2084	1717.52	953	72.5704
NM_001011564.2	1326	959.523	378	51.5235
NM_001011565.1	3023	2656.52	84.6342	4.16679
NM_001011566.1	1503	1136.52	0	0
NM_001011567.1	4030	3663.52	0	0
NM_001011568.1	2077	1710.52	0	0
NM_001011570.1	582	260.955	1172	587.396
NM_001011571.1	2093	1726.52	0	0
NM_001011572.1	2346	1979.52	53726	3549.71
NM_001011573.1	3160	2793.52	0	0
NM_001011574.1	1940	1573.52	89	7.39752
NM_001011575.1	2163	1796.52	37	2.69363
NM_001011576.1	1195	828.523	26	4.10429
NM_001011577.1	2389	2022.52	203.099	13.1336
NM_001011578.1	5441	5074.52	7097	182.915
NM_001011579.1	1430	1063.52	16	1.96762
NM_001011580.1	1544	1177.52	0	0
NM_001011581.1	2439	2072.52	540.934	34.1361
NM_001011582.1	356	139.242	0	0
NM_001011583.2	635	299.157	66365	29014.1
NM_001011584.1	1606	1239.52	0	0
NM_001011585.1	1638	1271.52	43.8956	4.51509
NM_001011586.1	2205	1838.52	0	0
NM_001011587.1	496	207.193	130.862	82.6056
NM_001011588.1	724	371.387	19	6.69107
NM_001011589.1	624	290.915	242	108.797
NM_001011590.1	574	255.524	0	0
NM_001011591.1	584	262.327	0	0
NM_001011592.1	1590	1223.52	3358.22	358.977
NM_001011593.1	548	238.487	0	0
NM_001011594.1	4195	3828.52	0	0
NM_001011595.1	2818	2451.52	40	2.13399
NM_001011596.1	4100	3733.52	192.723	6.75123
NM_001011597.1	2673	2306.52	14	0.793851
NM_001011598.1	1624	1257.52	4100	426.419
NM_001011599.1	1942	1575.52	4	0.332051
NM_001011600.1	2052	1685.52	79	6.13001
NM_001011601.1	1830	1463.52	0	0
NM_001011602.1	2795	2428.52	160	8.61681
NM_001011603.1	1683	1316.52	2065.36	205.181
NM_001011604.3	685	338.582	3758.89	1452
NM_001011605.1	1448	1081.52	102	12.3348
NM_001011606.1	1757	1390.52	0	0
NM_001011607.2	381	149.89	42940	37467.7
NM_001011608.1	1873	1506.52	429	37.2435
NM_001011610.1	1612	1245.52	18	1.89012
NM_001011611.2	369	144.712	532	480.813
NM_001011612.1	304	118.626	0	0
NM_001011613.1	710	359.42	209572	76260.6
NM_001011614.1	688	341.045	9417	3611.36
NM_001011615.1	664	321.643	169246	68819.8
NM_001011616.2	680	334.5	30089	11764.7
NM_001011617.1	374	146.854	2971	2645.98
NM_001011618.1	523	222.986	469.657	275.469
NM_001011619.1	1559	1192.52	97.8848	10.7354
NM_001011620.1	957	590.91	0	0
NM_001011621.1	3254	2887.52	1.10559	0.0500769
NM_001011622.1	1529	1162.52	0	0
NM_001011623.1	3376	3009.52	0	0
NM_001011624.1	4969	4602.52	38.6821	1.09922
NM_001011625.2	1940	1573.52	6	0.498709
NM_001011626.2	755	398.583	1911.32	627.168
NM_001011627.1	2520	2153.52	558	33.8886
NM_001011628.2	1386	1019.52	299.728	38.4502
NM_001011629.1	14440	14073.5	1330.39	12.3636
NM_001011630.1	630	295.391	376.479	166.691
NM_001011631.1	1741	1374.52	3.72354	0.354302
NM_001011632.2	2009	1642.52	0	0
NM_001011633.1	1533	1166.52	139.449	15.6347
NM_001011634.2	3754	3387.52	0	0
NM_001011635.1	1447	1080.52	109	13.1935
NM_001011636.1	570	252.842	1770	915.574
NM_001011637.1	1369	1002.52	23	3.00056
NM_001011638.1	584	262.327	0	0
NM_001011639.2	1806	1439.52	1	0.0908553
NM_001011640.1	991	624.58	2225	465.92
NM_001011641.1	970	603.765	114	24.6948
NM_001011643.1	2378	2011.52	0	0
NM_001011644.2	1200	833.523	2	0.313821
NM_001011650.1	2242	1875.52	4	0.278937
NM_001011652.2	969	602.775	27	5.85838
NM_001011653.2	898	532.99	0	0
NM_001011654.2	749	393.249	187.318	62.299
NM_001012429.1	672	328.032	1157.96	461.683
NM_001012615.1	1097	730.523	31	5.55005
NM_001012627.1	3153	2786.52	3.57175	0.167644
NM_001012962.1	3606	3239.52	24	0.968945
NM_001012963.1	502	210.619	0	0
NM_001013006.1	2991	2624.52	24.5497	1.22339
NM_001013359.2	1964	1597.52	116.216	9.5145
NM_001013361.1	4113	3746.52	257	8.97168
NM_001014429.1	1427	1060.52	65	8.01608
NM_001014430.1	438	176.415	0	0
NM_001014983.1	3250	2883.52	0	0
NM_001014991.1	7242	6875.52	37.2247	0.7081
NM_001014992.2	2498	2131.52	178.718	10.966
NM_001014993.1	1386	1019.52	1614	207.05
NM_001014994.1	1892	1525.52	821.017	70.3886
NM_001024697.1	1793	1426.52	618	56.6603
NM_001032361.1	3585	3218.52	7.80079	0.316994
NM_001037318.2	2515	2148.52	0	0
NM_001039968.1	1349	982.523	0	0
NM_001040203.1	644	306.019	7	2.9917
NM_001040204.1	793	433.065	98.3868	29.7134
NM_001040205.1	698	349.329	173	64.7709
NM_001040206.1	682	336.129	736.93	286.74
NM_001040207.1	1179	812.523	452	72.7565
NM_001040208.1	582	260.955	553	277.159
NM_001040209.1	588	265.086	228.183	112.581
NM_001040220.1	483	199.93	12	7.85003
NM_001040221.1	459	187.084	0	0
NM_001040223.1	555	242.982	719	387.012
NM_001040224.1	399	157.909	0	0
NM_001040225.1	407	161.574	0	0
NM_001040226.1	432	173.461	0	0
NM_001040227.1	724	371.387	61.0698	21.5064
NM_001040229.1	453	183.983	0	0
NM_001040230.1	13107	12740.5	3.00989	0.0308981
NM_001040231.1	363	142.17	0	0
NM_001040233.1	1647	1280.52	26119.2	2667.73
NM_001040234.1	1500	1133.52	1508.65	174.072
NM_001040235.2	6077	5710.52	0	0
NM_001040236.1	1767	1400.52	14360	1341.01
NM_001040237.1	5107	4740.52	482.475	13.3112
NM_001040255.1	1893	1526.52	88.4277	7.57624
NM_001040256.1	767	409.346	447.242	142.896
NM_001040257.1	1554	1187.52	0	0
NM_001040258.1	1250	883.523	3190.55	472.299
NM_001040259.1	1743	1376.52	22165	2105.98
NM_001040262.2	438	176.415	0	0
NM_001040263.1	1550	1183.52	311	34.3679
NM_001040264.1	1600	1233.52	95	10.0727
NM_001040265.1	1689	1322.52	83.552	8.26271
NM_001040266.2	1599	1232.52	14.5903	1.54824
NM_001040267.1	1895	1528.52	0	0
NM_001040269.1	1397	1030.52	43.1242	5.47308
NM_001040270.1	509	214.676	131	79.8101
NM_001040277.1	2150	1783.52	0	0
NM_001040681.1	2499	2132.52	113	6.93033
NM_001042458.1	1737	1370.52	0	0
NM_001042460.1	1794	1427.52	199.955	18.3197
NM_001077808.1	5328	4961.52	50.4754	1.33056
NM_001077809.1	1344	977.523	0	0
NM_001077810.1	354	138.413	31	29.2923
NM_001077811.1	1287	920.523	0	0
NM_001077812.1	1470	1103.52	0	0
NM_001077813.1	3226	2859.52	0	0
NM_001077814.1	387	152.529	6.43461	5.51745
NM_001077815.1	1855	1488.52	0	0
NM_001077816.1	1530	1163.52	0	0
NM_001077817.1	1194	827.523	0	0
NM_001077818.1	1707	1340.52	0	0
NM_001077819.1	378	148.584	0	0
NM_001077820.1	351	137.175	729	695.057
NM_001077821.1	4097	3730.52	0	0
NM_001077822.1	1533	1166.52	0	0
NM_001077823.2	516	218.798	111.043	66.377
NM_001077824.1	1842	1475.52	0	0
NM_001077825.1	1158	791.523	0	0
NM_001078661.1	315	122.838	0	0
NM_001079560.1	1607	1240.52	0	0
NM_001079561.1	1701	1334.52	0	0
NM_001080094.2	2123	1756.52	0	0
NM_001080095.1	1590	1223.52	0	0
NM_001080110.1	2703	2336.52	237.846	13.3136
NM_001080205.1	2713	2346.52	195	10.8687
NM_001083630.1	1713	1346.52	53.2678	5.17392
NM_001085344.1	515	218.205	4799	2876.44
NM_001085345.1	1491	1124.52	104299	12130.6
NM_001085346.1	509	214.676	19238.4	11720.7
NM_001097154.2	1766	1399.52	2186.64	204.346
NM_001098167.1	767	409.346	312.68	99.9031
NM_001098214.1	1863	1496.52	0	0
NM_001098215.2	2635	2268.52	61.7869	3.56223
NM_001098217.1	2187	1820.52	0	0
NM_001098218.1	2148	1781.52	45.8285	3.36445
NM_001098219.1	2139	1772.52	33	2.43496
NM_001098220.1	1806	1439.52	0	0
NM_001098221.1	1763	1396.52	0	0
NM_001098223.1	1436	1069.52	111	13.5738
NM_001098224.2	1333	966.523	1544	208.932
NM_001098228.1	1286	919.523	41.2137	5.86202
NM_001098229.1	1284	917.523	421	60.0115
NM_001098232.1	1146	779.523	21.2395	3.56356
NM_001098234.1	462	188.651	0	0
NM_001098717.1	2199	1832.52	1	0.0713706
NM_001101023.1	3033	2666.52	31.4239	1.54129
NM_001104949.1	3122	2755.52	0	0
NM_001110712.2	754	397.692	0	0
NM_001110764.1	2606	2239.52	2780	162.352
NM_001111255.1	2504	2137.52	0	0
NM_001112670.1	3330	2963.52	317.12	13.9954
NM_001112671.1	3001	2634.52	564.13	28.0057
NM_001112672.2	1701	1334.52	136.946	13.4212
NM_001113285.1	2779	2412.52	14.4592	0.783867
NM_001113739.1	1509	1142.52	414.407	47.4385
NM_001114188.1	1950	1583.52	0	0
NM_001114198.1	730	376.578	1423.8	494.497
NM_001115078.1	2659	2292.52	9.65834	0.551008
NM_001123013.2	6157	5790.52	154.999	3.50091
NM_001126243.2	2949	2582.52	817.032	41.3774
NM_001126244.1	1674	1307.52	102	10.2028
NM_001131037.1	1164	797.523	0	0
NM_001131038.1	2722	2355.52	208	11.549
NM_001134227.1	1704	1337.52	572.47	55.9784
NM_001134333.1	282	110.398	0	0
NM_001134371.1	591	267.171	126	61.6808
NM_001134668.1	2541	2174.52	750	45.1093
NM_001134669.1	584	262.327	0	0
NM_001134722.1	105	46.6708	0	0
NM_001134828.1	1495	1128.52	451	52.2679
NM_001134934.1	3281	2914.52	0	0
NM_001134935.1	2337	1970.52	0	0
NM_001134936.1	1992	1625.52	0	0
NM_001134940.1	1464	1097.52	0	0
NM_001134942.1	1621	1254.52	161	16.7848
NM_001134943.1	1434	1067.52	0	0
NM_001134947.1	1760	1393.52	234	21.9619
NM_001134948.1	3181	2814.52	0	0
NM_001134949.1	3346	2979.52	1918.07	84.1952
NM_001134950.1	2295	1928.52	31.1387	2.11176
NM_001135735.1	1032	665.523	8622	1694.39
NM_001135905.1	488	202.698	410	264.548
NM_001135909.1	320	124.777	5	5.24089
NM_001136187.1	614	283.563	358	165.121
NM_001136206.1	1002	635.523	3	0.617389
NM_001136207.1	930	564.306	3	0.695305
NM_001136208.1	1008	641.523	0	0
NM_001136209.1	1029	662.523	0	0
NM_001141964.1	2248	1881.52	5462.87	379.735
NM_001142436.1	1295	928.523	241.104	33.9611
NM_001142461.1	824	461.968	94	26.6124
NM_001142561.1	1943	1576.52	10.5834	0.877998
NM_001142607.1	642	304.485	26	11.168
NM_001142609.1	1671	1304.52	5.687	0.570164
NM_001142637.1	999	632.523	4	0.82709
NM_001142656.2	710	359.42	0	0
NM_001142693.1	1386	1019.52	0	0
NM_001143878.1	1377	1010.52	0	0
NM_001143879.1	1428	1061.52	0	0
NM_001143880.1	1470	1103.52	0	0
NM_001143921.1	2102	1735.52	567.829	42.7914
NM_001144839.2	596	270.673	403.714	195.074
NM_001145735.2	1347	980.523	17.4975	2.33393
NM_001145736.1	2424	2057.52	0	0
NM_001145737.1	2433	2066.52	0	0
NM_001145738.1	2787	2420.52	0	0
NM_001145739.1	2553	2186.52	0	0
NM_001145740.1	3633	3266.52	58	2.32226
NM_001159303.1	1404	1037.52	0	0
NM_001159355.1	2782	2415.52	262.25	14.1995
NM_001160048.1	2747	2380.52	3425	188.173
NM_001160050.1	2417	2050.52	44188	2818.44
NM_001160052.1	2920	2553.52	7939.74	406.664
NM_001160064.1	2844	2477.52	9580	505.728
NM_001160072.1	2237	1870.52	3622	253.253
NM_001160270.1	698	349.329	1137.03	425.701
NM_001160405.2	2980	2613.52	100.216	5.01508
NM_001161709.2	856	492.385	228	60.5618
NM_001161787.1	927	561.359	1850.43	431.123
NM_001161788.1	843	479.966	187.57	51.1119
NM_001161831.1	683	336.946	915	355.165
NM_001162398.1	165	68.7806	0	0
NM_001162513.1	4073	3706.52	0	0
NM_001162516.1	1758	1391.52	0	0
NM_001163463.1	481	198.832	187	123.005
NM_001163712.1	1155	788.523	160	26.5384
NM_001163714.1	1566	1199.52	917.745	100.065
NM_001163715.1	854	490.469	806	214.927
NM_001163716.1	900	534.939	13866.2	3390.18
NM_001163717.1	2152	1785.52	146.507	10.7316
NM_001164008.1	2209	1842.52	94	6.67243
NM_001164809.1	503	211.194	144	89.1763
NM_001164810.1	871	506.809	597	154.063
NM_001165904.1	5715	5348.52	6.8864	0.168394
NM_001165905.1	6135	5768.52	17.6772	0.400791
NM_001165906.1	3754	3387.52	525.01	20.27
NM_001167709.1	732	378.317	4	1.38284
NM_001167720.1	599	272.79	10.0939	4.8395
NM_001167836.1	1455	1088.52	39	4.68593
NM_001167893.1	1135	768.523	136	23.1447
NM_001168336.1	1053	686.523	194	36.9586
NM_001168425.1	1144	777.523	221	37.1748
NM_001168700.1	993	626.565	0	0
NM_001170972.1	1128	761.523	338	58.0501
NM_001170973.1	1131	764.523	6802	1163.63
NM_001170974.1	1454	1087.52	1528.73	183.849
NM_001171006.1	3549	3182.52	164.478	6.75936
NM_001171051.1	4101	3734.52	0	0
NM_001171108.1	1209	842.523	18.7337	2.90811
NM_001171169.1	1520	1153.52	1448.69	164.254
NM_001172378.1	1201	834.523	214	33.5386
NM_001172379.1	1114	747.523	858	150.118
NM_001172389.1	1026	659.523	343.945	68.2069
NM_001172403.1	1330	963.523	772	104.791
NM_001172404.1	2427	2060.52	1067.62	67.7653
NM_001172405.1	228	90.9902	0	0
NM_001172406.1	908	542.746	114	27.4711
NM_001172718.1	2641	2274.52	115.691	6.65242
NM_001174139.1	720	367.947	7	2.48818
NM_001174140.1	599	272.79	0	0
NM_001174141.1	1037	670.523	31.4786	6.14004
NM_001174142.1	773	414.772	0	0
NM_001174143.1	884	519.383	3738.78	941.481
NM_001174144.1	534	229.701	246	140.069
NM_001174145.1	871	506.809	19	4.90318
NM_001177490.1	1091	724.523	2964	535.051
NM_001177903.1	404	160.192	0	0
NM_001178021.1	842	479.014	3719.28	1015.5
NM_001178022.1	816	454.451	0	0
NM_001178023.1	1095	728.523	126.318	22.6773
NM_001178024.1	1194	827.523	551.682	87.1922
NM_001178025.1	2265	1898.52	0	0
NM_001178026.1	2037	1670.52	3146.9	246.376
NM_001178027.1	830	467.63	4554	1273.68
NM_001178028.1	1029	662.523	17.0913	3.37398
NM_001178047.1	1538	1171.52	798.534	89.1481
NM_001178048.1	1331	964.523	527	71.4607
NM_001178067.1	626	292.402	246	110.033
NM_001178069.1	1627	1260.52	0	0
NM_001185079.1	3029	2662.52	165	8.10512
NM_001185086.1	3029	2662.52	165	8.10512
NM_001185105.1	3075	2708.52	245.551	11.8571
NM_001185144.1	565	249.52	3185	1669.45
NM_001185145.1	1666	1299.52	2143.67	215.746
NM_001185146.1	1648	1281.52	8077.33	824.348
NM_001190421.1	2277	1910.52	69.2814	4.74278
