"gene_id" "target_id" "qval" "b" "description"
"1" "409904" "XM_006570314.3" 1.73214254644371e-09 6.59960814077296 "uncharacterized protein LOC409904"
"2" "411114" "XM_394588.7" 1.76358016432093e-08 6.40413909750322 "synaptosomal-associated protein 25"
"3" "408589" "XM_006570583.3" 2.12839773550094e-08 5.77847009009574 "uncharacterized protein LOC408589"
"4" NA "XR_003304650.1" 5.47673874610839e-07 6.82467890122382 NA
"5" NA "XR_003304681.1" 7.12408231188917e-07 6.19917709945762 NA
"6" "409910" "XM_016911392.2" 7.09965818611845e-05 6.09443421595878 "ras-like GTP-binding protein Rho1"
"7" "100578159" "XM_006570298.3" 0.000154348960387317 6.04384317807683 NA
"8" "410710" "XM_016913340.2" 0.000197090425354873 5.38798946911346 "zinc transporter ZIP13 homolog"
"9" "408766" "XM_006558742.3" 0.000217403004924523 6.36230377573333 "phosphatidylcholine:ceramide cholinephosphotransferase 2"
"10" "410204" "XM_026443232.1" 0.000279821568477442 5.78137170544185 "titin"
"11" "552572" "XM_026440587.1" 0.000360425369909984 5.80345782901824 "eukaryotic translation initiation factor 5A"
"12" "409574" "XM_026444024.1" 0.000404313826888171 5.70699542054918 "6-phosphofructo-2-kinase/fructose-2%2C6-bisphosphatase 1"
"13" "724129" "XM_016911264.2" 0.000526990695197177 2.50603200843287 "pescadillo homolog"
"14" "409843" "XM_026442162.1" 0.00166209735972918 6.0874605000686 "myosin heavy chain%2C muscle"
"15" "724929" "XM_001120829.5" 0.00176041196304632 6.01172765127628 "serine/threonine-protein kinase tricorner"
"16" "413416" "XM_026439400.1" 0.00213973314275752 5.20062325647179 "protein bicaudal C homolog 1-B"
"17" "410211" "XM_026443384.1" 0.00402189085907119 5.66965348793496 "four and a half LIM domains protein 2"
"18" "725290" "XM_006558488.3" 0.00543620407004403 5.88735546719064 "transcription factor CP2-like protein 1"
"19" "725550" "XM_001121383.5" 0.006014852105075 1.48746838944128 "proteasome activator complex subunit 4A"
"20" "727574" "XM_026446411.1" 0.00772040128582985 5.36671001843953 "transcription initiation factor TFIID subunit 3-like"
"21" "724368" "XM_016911650.2" 0.0110647925439095 5.72766183929506 "dnaJ homolog subfamily A member 1"
"22" "494509" "XM_623943.6" 0.0152645617242483 8.6428456259433 "protein Malvolio"
"23" "107965692" "XM_026445902.1" 0.0216917028617008 5.22297422270203 NA
"24" "411631" "XM_026440560.1" 0.0224563880283903 5.25543862866696 "liprin-beta-1"
"25" NA "XR_003305329.1" 0.0345895181555322 5.44176039459271 NA
"26" "410527" "XM_394006.7" 0.0402151036511166 1.09247480756365 "probable cation-transporting ATPase 13A3"
"27" "551551" "XM_016916653.1" 0.0436581116751438 5.46592405261857 "pre-mRNA-splicing factor Slu7"
"28" "411983" "XM_006572213.3" 0.0486074789859705 6.92336089745611 "uncharacterized protein LOC411983"
"29" "408501" "XM_392044.7" 0.0497157356553628 6.29330384148427 "serine/threonine-protein kinase/endoribonuclease IRE1"
