"gene_id" "target_id" "pval" "qval" "b" "description"
"413486" "XM_396930.7" 4.16255414581098e-15 4.79692739763258e-11 -5.7861515875088 "cytochrome b5"
"551401" "XM_006563788.3" 7.12021048864972e-06 0.0273511018903998 -3.97598058102468 "cytosolic 10-formyltetrahydrofolate dehydrogenase"
"408967" "XM_016913548.2" 5.62742280649699e-06 0.0273511018903998 -5.35318506168217 "calcium-binding mitochondrial carrier protein Aralar1"
"410451" "NM_001159303.1" 4.46456609612802e-05 0.102899319383559 -4.82462450983534 "venom serine carboxypeptidase"
"408286" "XM_026443441.1" 4.21989176881386e-05 0.102899319383559 -5.07958054374583 "2-oxoglutarate dehydrogenase%2C mitochondrial"
"408275" "XM_006569176.3" 0.000183497093664511 0.246460128270905 -5.2308340303501 "uncharacterized protein LOC408275"
"552455" "XM_006570900.3" 0.000192480141829065 0.246460128270905 -4.00605114253806 "transmembrane 9 superfamily member 2"
"726189" "XM_016912184.2" 0.000132904281654963 0.246460128270905 1.00098474735087 "protein obstructor-E"
"411575" "XM_395046.6" 0.000161713761600232 0.246460128270905 -4.65400548880224 "tau-tubulin kinase homolog Asator"
"410332" "XM_006566366.3" 0.000230336880596403 0.259211953636408 -4.04653090873893 "breast cancer anti-estrogen resistance protein 3"
"408369" "XM_026443958.1" 0.000247425502429754 0.259211953636408 -4.1333421471198 "putative glutathione-specific gamma-glutamylcyclotransferase 2"
"411158" "XM_026441374.1" 0.000408006274313436 0.36372073150041 -4.50758264400442 "leucine-rich repeat-containing protein 24"
NA "XR_003304871.1" 0.000410306274688071 0.36372073150041 -4.60327281148164 NA
"726088" "XM_001120202.5" 0.000497506647224096 0.375800692484295 -3.29016017154593 "serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform"
"410874" "XM_003250726.4" 0.000762759887565092 0.375800692484295 -4.27815489203554 "lysine-specific demethylase lid"
"408607" "XM_003251734.4" 0.00106563535839381 0.375800692484295 -4.06156771561714 "SEC23-interacting protein"
"412200" "XM_006559657.3" 0.000878277467808775 0.375800692484295 -3.97084031534739 "threonine--tRNA ligase%2C cytoplasmic"
"410007" "XM_006563936.2" 0.000968613834041097 0.375800692484295 -4.02222882970355 "putative phospholipase B-like lamina ancestor"
"102654936" "XM_006565205.3" 0.000708925488463275 0.375800692484295 1.12647682154588 NA
"408697" "XM_006565861.3" 0.000857529714587059 0.375800692484295 -4.76263593679413 "KN motif and ankyrin repeat domain-containing protein 3"
"408311" "XM_006566503.3" 0.00107175122041516 0.375800692484295 -4.18227857408086 "catenin delta-2"
"552149" "XM_006569218.3" 0.00065330157750301 0.375800692484295 -1.18124032388022 "aquaporin AQPAn.G"
"410980" "XM_006569282.2" 0.000696214227739621 0.375800692484295 -4.63997551697722 "polyphosphoinositide phosphatase"
"551624" "XM_006570457.3" 0.000743390078154317 0.375800692484295 -3.43430371599464 "TOX high mobility group box family member 3"
"725893" "XM_016910880.2" 0.00102604832587008 0.375800692484295 -4.72712420876209 "uncharacterized protein LOC725893"
"413834" "XM_016917618.2" 0.000553520938243943 0.375800692484295 -3.48070948416663 "atypical protein kinase C"
"412619" "XM_026439538.1" 0.000558029658396334 0.375800692484295 -3.51981651953388 "amidophosphoribosyltransferase"
"725770" "XM_026441255.1" 0.000697576513147809 0.375800692484295 -4.50215294942317 "phosphatidylinositol 3-kinase catalytic subunit type 3"
"726883" "XM_026441482.1" 0.000807024220266048 0.375800692484295 -4.64972975372458 "CD109 antigen"
"409036" "XM_026442799.1" 0.000542558272090709 0.375800692484295 -3.94764331569097 "GTP-binding protein Rheb homolog"
"413994" "XM_026442919.1" 0.00112256225284517 0.375800692484295 -3.57802568150317 "calcium-activated potassium channel slowpoke"
"409332" "XM_026443612.1" 0.000965884747560966 0.375800692484295 -4.51265894655369 "ubiquitin carboxyl-terminal hydrolase 7"
"413553" "XM_026444164.1" 0.000962328730623247 0.375800692484295 -4.07310976307281 "zinc transporter ZIP1-like"
"724292" "XM_026444423.1" 0.0011100365960785 0.375800692484295 -4.24306879490699 "disks large 1 tumor suppressor protein"
"413103" "XM_396554.6" 0.00114135927082179 0.375800692484295 0.858306935198996 "cysteine and histidine-rich protein 1 homolog"
"724999" "XM_006560793.3" 0.00143753867652359 0.392417695886354 -3.92788683530945 "sodium/bile acid cotransporter 7"
"727238" "XM_006565697.3" 0.00146424513390431 0.392417695886354 -4.00416254166561 "histone-lysine N-methyltransferase ash1"
"409486" "XM_006569667.3" 0.00136174032203167 0.392417695886354 -3.59037878615476 "RNA-binding protein 4.1"
"551143" "XM_016914581.2" 0.00142141629514426 0.392417695886354 -3.96485619893358 "inositol-3-phosphate synthase 1-B"
"408351" "XM_016914866.2" 0.00138042325639794 0.392417695886354 -4.38388299352399 "uncharacterized protein LOC408351"
"725468" "XM_016916641.2" 0.00134930601350882 0.392417695886354 -4.2549497316487 "AN1-type zinc finger protein 1"
"107964404" "XM_026440720.1" 0.00127620890862112 0.392417695886354 -4.51527420696097 NA
"551572" "XM_623964.6" 0.00123203077728361 0.392417695886354 -4.09035416459469 "uncharacterized protein LOC551572"
"726432" "XM_006566740.3" 0.00150720483116883 0.394750647145219 -4.22221923497206 "rab GTPase-binding effector protein 1"
"726706" "XM_003249685.4" 0.00170819012484847 0.406530221574154 -3.99058789675619 "F-box/LRR-repeat protein 7"
"100576258" "XM_003251693.4" 0.00159952980085071 0.406530221574154 -0.821009933882497 "uncharacterized protein LOC100576258"
"408429" "XM_006560369.3" 0.0017638416416789 0.406530221574154 4.50231755954746 "tensin-1"
"411722" "XM_006571257.1" 0.00168262987197406 0.406530221574154 -4.07657620677841 "endoplasmic reticulum-Golgi intermediate compartment protein 2"
"100577587" "XM_026442352.1" 0.00173802687091013 0.406530221574154 -3.9625533682201 "cytospin-A"
"550885" "XM_623276.6" 0.00166357210600889 0.406530221574154 -3.66427739860042 "nicotinate phosphoribosyltransferase"
"413562" "XM_006570998.3" 0.00180901649443247 0.408766785918428 -4.2877612432741 "rho guanine nucleotide exchange factor 17"
"550989" "XM_026445723.1" 0.00196602556004742 0.435701510653586 -4.16615512227447 "palmitoyltransferase ZDHHC15B"
"100577530" "XM_006568184.3" 0.00210868914049437 0.439445327339328 -4.03018645508489 "uncharacterized protein LOC100577530"
"724311" "XM_016912689.2" 0.00211653969000006 0.439445327339328 -2.64012662543263 "AT-rich interactive domain-containing protein 2"
"100578030" "XM_026443818.1" 0.00204073562758856 0.439445327339328 4.59644413735065 "antichymotrypsin-2"
"409792" "XM_026446204.1" 0.00213545108738306 0.439445327339328 -3.93447014915979 "electrogenic sodium bicarbonate cotransporter 1"
"725076" "XM_003249847.4" 0.00267174826714368 0.467762619124466 -4.72095927059391 "CCHC-type zinc finger protein CG3800"
"408399" "XM_006557801.1" 0.00306094420665614 0.467762619124466 -3.64665726984748 NA
"409628" "XM_006559665.3" 0.00289089641126335 0.467762619124466 -4.36807672082997 "neutral ceramidase"
"412864" "XM_006562044.3" 0.00243867209316748 0.467762619124466 -3.6888183109982 "FUN14 domain-containing protein 1"
"100576915" "XM_006566075.3" 0.00305768480530283 0.467762619124466 -2.62013039579606 "asparagine-rich protein"
"726321" "XM_006566196.3" 0.00273507357830083 0.467762619124466 0.636410408652568 "uncharacterized protein LOC726321"
