"gene_id" "target_id" "pval" "qval" "b" "description"
"1" "726965" "XM_006563652.3" 6.06218861030368e-66 7.03941341428464e-62 4.84930745081061 NA
"2" "408320" "XM_016914797.2" 4.29531234423866e-25 1.24692917353248e-21 2.25023797742895 "uncharacterized protein LOC408320"
"3" "726871" "XM_026442531.1" 9.61340464547507e-23 2.23261709486513e-19 1.88257740949816 "synaptic vesicle glycoprotein 2B"
"4" "409250" "XM_392773.7" 1.65566467361862e-21 2.74651117000849e-18 2.49256697956736 "beta-ureidopropionase"
"5" "551197" "XM_623592.5" 1.17433769232466e-20 1.70455116040925e-17 2.7761973984513 "probable cytochrome P450 6a13"
"6" "726054" "XM_026441419.1" 2.0879618958229e-20 2.69393483714394e-17 1.73422099949799 "transport and Golgi organization 2 homolog"
"7" "100578341" "XM_003250137.4" 9.93449526658068e-19 1.15359359035535e-15 2.26469939967468 "uncharacterized protein LOC100578341"
"8" "551005" "XM_006557582.3" 1.82845547591972e-17 1.93018408967089e-14 7.05330578996266 "hexokinase type 2"
"9" "408452" "XM_392000.7" 1.71815389357699e-15 1.53470792401661e-12 2.70750597416682 "cytochrome P450 9e2"
"10" "102655622" "XM_016911802.2" 1.2730292783416e-13 9.23900998756419e-11 5.32978578186544 NA
"11" "551961" "XM_624343.6" 8.63249741300828e-13 5.89650352705012e-10 1.38399017505317 "V-type proton ATPase subunit G"
"12" "113219265" "XM_026445472.1" 3.58626082114263e-12 2.31353670306157e-09 6.15638862685153 NA
"13" "552073" "XM_006568959.2" 5.20287439531022e-12 3.17977776201802e-09 1.30616635481638 "arylsulfatase B"
"14" "408969" "XM_392498.7" 1.26312476631516e-11 7.33370239322582e-09 1.47222445327204 "aminoacylase-1"
"15" "409066" "XM_392591.7" 1.43128465144274e-11 7.91432255835863e-09 1.40777476322948 "pyridoxine-5'-phosphate oxidase"
"16" "406141" "NM_001011614.1" 5.55458794389424e-11 2.93181250929545e-08 1.82285213603873 NA
"17" "409490" "XM_006563331.3" 6.29572538342828e-11 3.17852013705953e-08 1.26991481196829 NA
"18" "551687" "XM_026439176.1" 7.43856634959678e-11 3.59902635214658e-08 1.26401755827113 "uncharacterized protein LOC551687"
"19" "413867" "XM_006563213.1" 1.60454764026934e-10 7.14234505642343e-08 1.20935015590176 "transaldolase"
"20" "107965219" "XM_016915071.2" 1.66072439307124e-10 7.14234505642343e-08 6.49998910877795 NA
"21" "724211" "XM_001119981.5" 2.26088541142281e-10 9.37621478480061e-08 1.984188739125 "cytochrome P450 9e2"
"22" "410371" "XM_016915493.2" 2.77561417678875e-10 1.11139420071969e-07 1.37446358459201 "calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type"
"23" "410059" "XM_393545.7" 4.12889391312793e-10 1.59815720397472e-07 1.19094264154674 "probable citrate synthase 2%2C mitochondrial"
"24" "724874" "XM_016910716.2" 4.8163303020565e-10 1.80410411185419e-07 7.55224328542565 "facilitated trehalose transporter Tret1"
"25" "409881" "XM_006558321.3" 1.23744568967784e-09 4.35430889349667e-07 1.37990725801363 "myosin regulatory light chain 2"
"26" "409787" "XM_026441416.1" 1.48306820037672e-09 5.06511410081601e-07 1.52553075327214 "LOW QUALITY PROTEIN: paramyosin%2C long form"
"27" "409650" "XM_016914572.1" 3.63709023138789e-09 1.11141820439148e-06 1.55134642527703 "solute carrier organic anion transporter family member 2A1"
"28" "409619" "XM_026441672.1" 4.3343109865936e-09 1.29051331221346e-06 2.49030966908003 "putative aminopeptidase-2"
"29" "551758" "XM_006567746.3" 4.64199366739298e-09 1.34757076164418e-06 1.65871701990651 "arylsulfatase B"
"30" "410058" "XM_393544.6" 5.21144373203279e-09 1.44084010991345e-06 1.31721034696224 "myosin light chain alkali"
"31" "406066" "NM_001011563.1" 7.15795981075353e-09 1.93298207726674e-06 1.29443714218879 NA
"32" "409157" "XM_392681.6" 9.48770479763774e-09 2.44824951355932e-06 1.26807950683664 "succinyl-CoA:3-ketoacid coenzyme A transferase 1%2C mitochondrial"
"33" "408689" "XM_006568149.3" 1.18285635332726e-08 2.9666893774245e-06 1.4638978034998 NA
"34" "409963" "XM_393453.7" 1.20077851135852e-08 2.9666893774245e-06 1.17788659788844 "6-phosphofructo-2-kinase/fructose-2%2C6-bisphosphatase"
"35" "409650" "XM_393148.6" 2.44068384505481e-08 5.78392261403601e-06 6.42259199792909 "solute carrier organic anion transporter family member 2A1"
"36" "406114" "NM_001011598.1" 2.57070779688652e-08 5.97021178748925e-06 2.19931476692167 "alpha-amylase precursor"
"37" "113218867" "XM_026441417.1" 2.9530682470788e-08 6.72373107550568e-06 1.35009429723301 NA
"38" "724718" "XM_026442755.1" 3.25576525164565e-08 7.13319737775646e-06 1.51245296400279 "xanthine dehydrogenase"
"39" "726481" "XM_001122213.5" 3.38749842101848e-08 7.28437623423455e-06 1.30774604047596 "inositol monophosphatase 2"
"40" "100577915" "XM_026442459.1" 6.15710975124717e-08 1.27672068627647e-05 3.01644330351602 NA
"41" "102653935" "XM_006563979.3" 6.2695275934608e-08 1.27722376167135e-05 3.28498410859258 NA
"42" "550932" "XM_006559180.3" 6.66793356764598e-08 1.33496628599147e-05 1.14570175579751 NA
"43" "100577143" "XM_003251842.4" 9.63086060130161e-08 1.86389255503857e-05 1.2716838802735 "uncharacterized protein LOC100577143"
"44" "726040" "XM_001121814.5" 1.03284635891511e-07 1.96613310159382e-05 1.58184418522606 "4-coumarate--CoA ligase 1"
"45" "411140" "XM_394614.7" 1.16951009204779e-07 2.15561129981887e-05 1.27412635039652 "putative aldehyde dehydrogenase family 7 member A1 homolog"
"46" NA "XR_411807.3" 1.99808918786919e-07 3.46295696261746e-05 1.61305290648566 NA
"47" "408411" "XM_026444698.1" 3.04393361868061e-07 5.04945102573132e-05 1.51167967492474 "transcription factor Sox-2"
"48" "410791" "XM_016914207.2" 3.40094919725548e-07 5.56222846176488e-05 1.02035628136613 "mitochondrial uncoupling protein 2"
"49" "551935" "NM_001040206.1" 5.11211576242453e-07 8.24470669906578e-05 0.957845855334032 NA
"50" "551533" "XM_006557829.3" 5.8926005606014e-07 9.37327091913746e-05 1.29956303527539 "uncharacterized protein LOC551533"
"51" "727598" "XM_026444748.1" 6.53594915561843e-07 0.000101193922126722 2.46104342817527 "probable cytochrome P450 6a13"
"52" "410066" "NM_001170974.1" 6.80961284536198e-07 0.00010404371626361 1.30861368061162 NA
