target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	884.523	2192	433.687
NM_001011562.1	863	499.105	448.749	157.346
NM_001011563.1	2084	1717.52	402	40.9608
NM_001011564.2	1326	959.523	234	42.6781
NM_001011565.1	3023	2656.52	7.0799	0.466399
NM_001011566.1	1503	1136.52	15.2179	2.34327
NM_001011567.1	4030	3663.52	0	0
NM_001011568.1	2077	1710.52	0	0
NM_001011570.1	582	260.955	201	134.795
NM_001011571.1	2093	1726.52	5.15002	0.522012
NM_001011572.1	2346	1979.52	170228	15049.2
NM_001011573.1	3160	2793.52	0	0
NM_001011574.1	1940	1573.52	83	9.23101
NM_001011575.1	2163	1796.52	67	6.52659
NM_001011576.1	1195	828.523	0	0
NM_001011577.1	2389	2022.52	110.708	9.5792
NM_001011578.1	5441	5074.52	409	14.105
NM_001011579.1	1430	1063.52	0	0
NM_001011580.1	1544	1177.52	3	0.445858
NM_001011581.1	2439	2072.52	92.0379	7.77162
NM_001011582.1	356	139.242	0	0
NM_001011583.2	635	299.157	16882	9875.72
NM_001011584.1	1606	1239.52	0	0
NM_001011585.1	1638	1271.52	0	0
NM_001011586.1	2205	1838.52	129	12.2791
NM_001011587.1	496	207.193	979.477	827.302
NM_001011588.1	724	371.387	41	19.3197
NM_001011589.1	624	290.915	483	290.553
NM_001011590.1	574	255.524	8	5.47902
NM_001011591.1	584	262.327	0	0
NM_001011592.1	1590	1223.52	527.083	75.3895
NM_001011593.1	548	238.487	0	0
NM_001011594.1	4195	3828.52	10	0.457102
NM_001011595.1	2818	2451.52	2	0.14277
NM_001011596.1	4100	3733.52	0	0
NM_001011597.1	2673	2306.52	0	0
NM_001011598.1	1624	1257.52	671	93.3794
NM_001011599.1	1942	1575.52	0	0
NM_001011600.1	2052	1685.52	75	7.78701
NM_001011601.1	1830	1463.52	0	0
NM_001011602.1	2795	2428.52	59	4.25162
NM_001011603.1	1683	1316.52	623.047	82.8203
NM_001011604.3	685	338.582	4124.14	2131.64
NM_001011605.1	1448	1081.52	82	13.2685
NM_001011606.1	1757	1390.52	0	0
NM_001011607.2	381	149.89	7335	8563.88
NM_001011608.1	1873	1506.52	81	9.40922
NM_001011610.1	1612	1245.52	0	0
NM_001011611.2	369	144.712	25	30.2329
NM_001011612.1	304	118.626	0	0
NM_001011613.1	710	359.42	157413	76644.9
NM_001011614.1	688	341.045	527	270.423
NM_001011615.1	664	321.643	157464	85674.6
NM_001011616.2	680	334.5	123074	64389.3
NM_001011617.1	374	146.854	3909	4658.27
NM_001011618.1	523	222.986	4	3.13926
NM_001011619.1	1559	1192.52	0	0
NM_001011620.1	957	590.91	0	0
NM_001011621.1	3254	2887.52	9.05573	0.548836
NM_001011622.1	1529	1162.52	0	0
NM_001011623.1	3376	3009.52	0	0
NM_001011624.1	4969	4602.52	0	0
NM_001011625.2	1940	1573.52	0	0
NM_001011626.2	755	398.583	701.405	307.96
NM_001011627.1	2520	2153.52	310	25.1916
NM_001011628.2	1386	1019.52	165.324	28.3782
NM_001011629.1	14440	14073.5	5241.49	65.1773
NM_001011630.1	630	295.391	252.834	149.79
NM_001011631.1	1741	1374.52	0	0
NM_001011632.2	2009	1642.52	0	0
NM_001011633.1	1533	1166.52	184.494	27.6779
NM_001011634.2	3754	3387.52	0	0
NM_001011635.1	1447	1080.52	53	8.58393
NM_001011636.1	570	252.842	743	514.262
NM_001011637.1	1369	1002.52	0	0
NM_001011638.1	584	262.327	53	35.3572
NM_001011639.2	1806	1439.52	0	0
NM_001011640.1	991	624.58	492	137.855
NM_001011641.1	970	603.765	51	14.7825
NM_001011643.1	2378	2011.52	0	0
NM_001011644.2	1200	833.523	17	3.56924
NM_001011650.1	2242	1875.52	8	0.746469
NM_001011652.2	969	602.775	18	5.2259
NM_001011653.2	898	532.99	59.3773	19.496
NM_001011654.2	749	393.249	173.031	77.0019
NM_001012429.1	672	328.032	449.157	239.621
NM_001012615.1	1097	730.523	18	4.31204
NM_001012627.1	3153	2786.52	3.39576	0.213264
NM_001012962.1	3606	3239.52	0	0
NM_001012963.1	502	210.619	0	0
NM_001013006.1	2991	2624.52	0	0
NM_001013359.2	1964	1597.52	0	0
NM_001013361.1	4113	3746.52	8	0.373685
NM_001014429.1	1427	1060.52	55	9.07585
NM_001014430.1	438	176.415	0	0
NM_001014983.1	3250	2883.52	0	0
NM_001014991.1	7242	6875.52	61.9526	1.57688
NM_001014992.2	2498	2131.52	150.129	12.3259
NM_001014993.1	1386	1019.52	182.119	31.261
NM_001014994.1	1892	1525.52	283.964	32.5753
NM_001024697.1	1793	1426.52	326	39.9929
NM_001032361.1	3585	3218.52	0	0
NM_001037318.2	2515	2148.52	0	0
NM_001039968.1	1349	982.523	0	0
NM_001040203.1	644	306.019	0	0
NM_001040204.1	793	433.065	37.6383	15.2097
NM_001040205.1	698	349.329	473	236.957
NM_001040206.1	682	336.129	1329.14	692.006
NM_001040207.1	1179	812.523	262	56.43
NM_001040208.1	582	260.955	95	63.7092
NM_001040209.1	588	265.086	419.047	276.643
NM_001040220.1	483	199.93	0	0
NM_001040221.1	459	187.084	0	0
NM_001040223.1	555	242.982	8	5.76183
NM_001040224.1	399	157.909	0	0
NM_001040225.1	407	161.574	1.43943	1.55906
NM_001040226.1	432	173.461	0	0
NM_001040227.1	724	371.387	1098.86	517.795
NM_001040229.1	453	183.983	0	0
NM_001040230.1	13107	12740.5	118.056	1.6216
NM_001040231.1	363	142.17	0	0
NM_001040233.1	1647	1280.52	4721.94	645.324
NM_001040234.1	1500	1133.52	395.519	61.0635
NM_001040235.2	6077	5710.52	0	0
NM_001040236.1	1767	1400.52	5856	731.737
NM_001040237.1	5107	4740.52	104.492	3.85745
NM_001040255.1	1893	1526.52	29.9193	3.42999
NM_001040256.1	767	409.346	986.599	421.789
NM_001040257.1	1554	1187.52	0	0
NM_001040258.1	1250	883.523	2510.46	497.256
NM_001040259.1	1743	1376.52	10211	1298.16
NM_001040262.2	438	176.415	0	0
NM_001040263.1	1550	1183.52	89	13.1601
NM_001040264.1	1600	1233.52	84	11.9173
NM_001040265.1	1689	1322.52	26.7371	3.53798
NM_001040266.2	1599	1232.52	0	0
NM_001040267.1	1895	1528.52	0	0
NM_001040269.1	1397	1030.52	0	0
NM_001040270.1	509	214.676	22	17.9343
NM_001040277.1	2150	1783.52	10.2807	1.00876
NM_001040681.1	2499	2132.52	22	1.8054
NM_001042458.1	1737	1370.52	5.21374	0.665744
NM_001042460.1	1794	1427.52	316.611	38.8138
NM_001077808.1	5328	4961.52	0	0
NM_001077809.1	1344	977.523	0	0
NM_001077810.1	354	138.413	50	63.2175
NM_001077811.1	1287	920.523	0	0
NM_001077812.1	1470	1103.52	0	0
NM_001077813.1	3226	2859.52	0	0
NM_001077814.1	387	152.529	4.39641	5.04418
NM_001077815.1	1855	1488.52	0	0
NM_001077816.1	1530	1163.52	0	0
NM_001077817.1	1194	827.523	0	0
NM_001077818.1	1707	1340.52	0	0
NM_001077819.1	378	148.584	12	14.1337
NM_001077820.1	351	137.175	29	36.997
NM_001077821.1	4097	3730.52	0	0
NM_001077822.1	1533	1166.52	0	0
NM_001077823.2	516	218.798	77.3752	61.8875
NM_001077824.1	1842	1475.52	10	1.18604
NM_001077825.1	1158	791.523	0	0
NM_001078661.1	315	122.838	0	0
NM_001079560.1	1607	1240.52	0	0
NM_001079561.1	1701	1334.52	0	0
NM_001080094.2	2123	1756.52	0	0
NM_001080095.1	1590	1223.52	0	0
NM_001080110.1	2703	2336.52	19.844	1.48629
NM_001080205.1	2713	2346.52	88	6.563
NM_001083630.1	1713	1346.52	37.5977	4.88643
NM_001085344.1	515	218.205	3025	2426.08
NM_001085345.1	1491	1124.52	16403	2552.7
NM_001085346.1	509	214.676	21477.4	17508.3
NM_001097154.2	1766	1399.52	1345	168.185
NM_001098167.1	767	409.346	232.595	99.4385
NM_001098214.1	1863	1496.52	0	0
NM_001098215.2	2635	2268.52	0	0
NM_001098217.1	2187	1820.52	0	0
NM_001098218.1	2148	1781.52	15.3773	1.51054
NM_001098219.1	2139	1772.52	0	0
NM_001098220.1	1806	1439.52	0	0
NM_001098221.1	1763	1396.52	0	0
NM_001098223.1	1436	1069.52	10	1.63627
NM_001098224.2	1333	966.523	302	54.6814
NM_001098228.1	1286	919.523	157.178	29.914
NM_001098229.1	1284	917.523	7	1.33514
NM_001098232.1	1146	779.523	0	0
NM_001098234.1	462	188.651	0	0
NM_001098717.1	2199	1832.52	24	2.29196
NM_001101023.1	3033	2666.52	9	0.590665
NM_001104949.1	3122	2755.52	0	0
NM_001110712.2	754	397.692	0	0
NM_001110764.1	2606	2239.52	188	14.6908
NM_001111255.1	2504	2137.52	0	0
NM_001112670.1	3330	2963.52	59.6572	3.52289
NM_001112671.1	3001	2634.52	66.7357	4.43303
NM_001112672.2	1701	1334.52	0	0
NM_001113285.1	2779	2412.52	0	0
NM_001113739.1	1509	1142.52	36.4035	5.57599
NM_001114188.1	1950	1583.52	0	0
NM_001114198.1	730	376.578	3450.45	1603.48
NM_001115078.1	2659	2292.52	18	1.37405
NM_001123013.2	6157	5790.52	54	1.632
NM_001126243.2	2949	2582.52	1030.45	69.8277
