target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	884.523	6742	932.38
NM_001011562.1	863	499.105	227.701	55.8066
NM_001011563.1	2084	1717.52	319	22.7196
NM_001011564.2	1326	959.523	689	87.837
NM_001011565.1	3023	2656.52	21.3444	0.982842
NM_001011566.1	1503	1136.52	17	1.82972
NM_001011567.1	4030	3663.52	25	0.834746
NM_001011568.1	2077	1710.52	0	0
NM_001011570.1	582	260.955	472	221.253
NM_001011571.1	2093	1726.52	0	0
NM_001011572.1	2346	1979.52	3642	225.057
NM_001011573.1	3160	2793.52	0	0
NM_001011574.1	1940	1573.52	31	2.40992
NM_001011575.1	2163	1796.52	0	0
NM_001011576.1	1195	828.523	0	0
NM_001011577.1	2389	2022.52	383.352	23.1856
NM_001011578.1	5441	5074.52	842	20.2969
NM_001011579.1	1430	1063.52	0	0
NM_001011580.1	1544	1177.52	0	0
NM_001011581.1	2439	2072.52	0	0
NM_001011582.1	356	139.242	0	0
NM_001011583.2	635	299.157	69232	28308.8
NM_001011584.1	1606	1239.52	0	0
NM_001011585.1	1638	1271.52	0	0
NM_001011586.1	2205	1838.52	0	0
NM_001011587.1	496	207.193	12.1926	7.19838
NM_001011588.1	724	371.387	0	0
NM_001011589.1	624	290.915	85	35.7409
NM_001011590.1	574	255.524	0	0
NM_001011591.1	584	262.327	0	0
NM_001011592.1	1590	1223.52	9051.51	904.945
NM_001011593.1	548	238.487	0	0
NM_001011594.1	4195	3828.52	14.1682	0.452687
NM_001011595.1	2818	2451.52	16	0.798357
NM_001011596.1	4100	3733.52	291.293	9.54386
NM_001011597.1	2673	2306.52	0	0
NM_001011598.1	1624	1257.52	1192	115.951
NM_001011599.1	1942	1575.52	0	0
NM_001011600.1	2052	1685.52	114	8.27339
NM_001011601.1	1830	1463.52	14	1.17015
NM_001011602.1	2795	2428.52	214	10.7792
NM_001011603.1	1683	1316.52	1180.64	109.699
NM_001011604.3	685	338.582	3848.58	1390.43
NM_001011605.1	1448	1081.52	0	0
NM_001011606.1	1757	1390.52	13	1.14361
NM_001011607.2	381	149.89	98502	80386.7
NM_001011608.1	1873	1506.52	127	10.312
NM_001011610.1	1612	1245.52	0	0
NM_001011611.2	369	144.712	205	173.286
NM_001011612.1	304	118.626	0	0
NM_001011613.1	710	359.42	6214	2114.87
NM_001011614.1	688	341.045	7188	2578.16
NM_001011615.1	664	321.643	1929	733.621
NM_001011616.2	680	334.5	490	179.19
NM_001011617.1	374	146.854	147	122.446
NM_001011618.1	523	222.986	375	205.716
NM_001011619.1	1559	1192.52	108.975	11.1783
NM_001011620.1	957	590.91	0	0
NM_001011621.1	3254	2887.52	0	0
NM_001011622.1	1529	1162.52	0	0
NM_001011623.1	3376	3009.52	0	0
NM_001011624.1	4969	4602.52	19	0.504976
NM_001011625.2	1940	1573.52	0	0
NM_001011626.2	755	398.583	2351.97	721.816
NM_001011627.1	2520	2153.52	180	10.2244
NM_001011628.2	1386	1019.52	961.86	115.406
NM_001011629.1	14440	14073.5	903.519	7.85322
NM_001011630.1	630	295.391	449.338	186.076
NM_001011631.1	1741	1374.52	16.8423	1.49887
NM_001011632.2	2009	1642.52	0	0
NM_001011633.1	1533	1166.52	7.03231	0.737426
NM_001011634.2	3754	3387.52	0	0
NM_001011635.1	1447	1080.52	92	10.4152
NM_001011636.1	570	252.842	742	358.978
NM_001011637.1	1369	1002.52	0	0
NM_001011638.1	584	262.327	0	0
NM_001011639.2	1806	1439.52	28	2.37932
NM_001011640.1	991	624.58	5101	999.035
NM_001011641.1	970	603.765	158	32.0112
NM_001011643.1	2378	2011.52	0	0
NM_001011644.2	1200	833.523	52	7.63131
NM_001011650.1	2242	1875.52	10	0.652215
NM_001011652.2	969	602.775	22	4.46458
NM_001011653.2	898	532.99	23.3935	5.36896
NM_001011654.2	749	393.249	235	73.0994
NM_001012429.1	672	328.032	1522.15	567.614
NM_001012615.1	1097	730.523	19	3.18151
NM_001012627.1	3153	2786.52	14	0.61458
NM_001012962.1	3606	3239.52	14	0.52864
NM_001012963.1	502	210.619	0	0
NM_001013006.1	2991	2624.52	0	0
NM_001013359.2	1964	1597.52	71.9265	5.50751
NM_001013361.1	4113	3746.52	371	12.1132
NM_001014429.1	1427	1060.52	20	2.30687
NM_001014430.1	438	176.415	0	0
NM_001014983.1	3250	2883.52	0	0
NM_001014991.1	7242	6875.52	0	0
NM_001014992.2	2498	2131.52	334.342	19.1873
NM_001014993.1	1386	1019.52	5845.95	701.409
NM_001014994.1	1892	1525.52	739.161	59.2699
NM_001024697.1	1793	1426.52	587	50.3353
NM_001032361.1	3585	3218.52	0	0
NM_001037318.2	2515	2148.52	0	0
NM_001039968.1	1349	982.523	4	0.498002
NM_001040203.1	644	306.019	0	0
NM_001040204.1	793	433.065	71.1705	20.103
NM_001040205.1	698	349.329	419	146.721
NM_001040206.1	682	336.129	2354	856.669
NM_001040207.1	1179	812.523	767	115.471
NM_001040208.1	582	260.955	11	5.15633
NM_001040209.1	588	265.086	395.233	182.381
NM_001040220.1	483	199.93	0	0
NM_001040221.1	459	187.084	0	0
NM_001040223.1	555	242.982	0	0
NM_001040224.1	399	157.909	0	0
NM_001040225.1	407	161.574	0	0
NM_001040226.1	432	173.461	0	0
NM_001040227.1	724	371.387	354	116.598
NM_001040229.1	453	183.983	0	0
NM_001040230.1	13107	12740.5	1.00372	0.0096369
NM_001040231.1	363	142.17	0	0
NM_001040233.1	1647	1280.52	20314.4	1940.58
NM_001040234.1	1500	1133.52	734.073	79.2177
NM_001040235.2	6077	5710.52	0	0
NM_001040236.1	1767	1400.52	6202	541.695
NM_001040237.1	5107	4740.52	342.75	8.84433
NM_001040255.1	1893	1526.52	0	0
NM_001040256.1	767	409.346	782.482	233.829
NM_001040257.1	1554	1187.52	18.1822	1.87291
NM_001040258.1	1250	883.523	2578.5	356.996
NM_001040259.1	1743	1376.52	11752	1044.34
NM_001040262.2	438	176.415	0	0
NM_001040263.1	1550	1183.52	468	48.3707
NM_001040264.1	1600	1233.52	101	10.0158
NM_001040265.1	1689	1322.52	43.5502	4.0281
NM_001040266.2	1599	1232.52	0	0
NM_001040267.1	1895	1528.52	0	0
NM_001040269.1	1397	1030.52	0	0
NM_001040270.1	509	214.676	353	201.143
NM_001040277.1	2150	1783.52	18.0792	1.23998
NM_001040681.1	2499	2132.52	68	3.90057
NM_001042458.1	1737	1370.52	17.5519	1.56657
NM_001042460.1	1794	1427.52	293.462	25.1468
NM_001077808.1	5328	4961.52	0	0
NM_001077809.1	1344	977.523	0	0
NM_001077810.1	354	138.413	31	27.3967
